Time,Channel A,Channel B
(ms),(V),(V)

-0.78980700,0.04760887,0.03967406
-0.78972700,0.03173925,0.03967406
-0.78964700,0.03173925,0.03967406
-0.78956700,0.04760887,0.00000000
-0.78948700,0.04760887,0.00000000
-0.78940700,0.01586962,0.00000000
-0.78932700,0.03173925,0.00000000
-0.78924700,0.04760887,0.00000000
-0.78916700,0.03173925,-0.03967406
-0.78908700,0.04760887,-0.07934812
-0.78900700,0.04760887,-0.07934812
-0.78892700,0.04760887,-0.07934812
-0.78884700,0.03173925,-0.07934812
-0.78876700,0.04760887,-0.07934812
-0.78868700,0.04760887,-0.11902220
-0.78860700,0.03173925,-0.11902220
-0.78852700,0.04760887,-0.11902220
-0.78844700,0.04760887,-0.11902220
-0.78836700,0.01586962,-0.07934812
-0.78828700,0.04760887,-0.07934812
-0.78820700,0.03173925,-0.07934812
-0.78812700,0.04760887,-0.07934812
-0.78804700,0.04760887,-0.07934812
-0.78796700,0.04760887,-0.03967406
-0.78788700,0.04760887,-0.03967406
-0.78780700,0.03173925,-0.07934812
-0.78772700,0.03173925,-0.03967406
-0.78764700,0.04760887,0.00000000
-0.78756700,0.04760887,0.00000000
-0.78748700,0.04760887,-0.03967406
-0.78740700,0.03173925,0.00000000
-0.78732700,0.04760887,-0.03967406
-0.78724700,0.04760887,-0.07934812
-0.78716700,0.03173925,-0.07934812
-0.78708700,0.03173925,-0.03967406
-0.78700700,0.01586962,-0.03967406
-0.78692700,0.04760887,-0.03967406
-0.78684700,0.03173925,-0.07934812
-0.78676700,0.04760887,-0.07934812
-0.78668700,0.01586962,-0.03967406
-0.78660700,0.04760887,-0.03967406
-0.78652700,0.04760887,-0.03967406
-0.78644700,0.03173925,-0.03967406
-0.78636700,0.04760887,0.00000000
-0.78628700,0.04760887,-0.03967406
-0.78620700,0.03173925,0.00000000
-0.78612700,0.06347850,-0.03967406
-0.78604700,0.04760887,0.00000000
-0.78596700,0.03173925,0.00000000
-0.78588700,0.04760887,0.00000000
-0.78580700,0.03173925,0.00000000
-0.78572700,0.04760887,0.03967406
-0.78564700,0.04760887,0.00000000
-0.78556700,0.03173925,0.00000000
-0.78548700,0.04760887,0.00000000
-0.78540700,0.06347850,0.03967406
-0.78532700,0.04760887,0.07934812
-0.78524700,0.03173925,0.03967406
-0.78516700,0.04760887,0.07934812
-0.78508700,0.04760887,0.03967406
-0.78500700,0.03173925,0.03967406
-0.78492700,0.03173925,0.03967406
-0.78484700,0.03173925,0.07934812
-0.78476700,0.04760887,0.03967406
-0.78468700,0.03173925,0.07934812
-0.78460700,0.03173925,0.03967406
-0.78452700,0.04760887,0.03967406
-0.78444700,0.04760887,0.00000000
-0.78436700,0.04760887,0.00000000
-0.78428700,0.04760887,0.00000000
-0.78420700,0.03173925,0.00000000
-0.78412700,0.03173925,0.00000000
-0.78404700,0.04760887,0.00000000
-0.78396700,0.03173925,0.00000000
-0.78388700,0.03173925,0.00000000
-0.78380700,0.04760887,-0.03967406
-0.78372700,0.06347850,-0.03967406
-0.78364700,0.01586962,0.00000000
-0.78356700,0.03173925,0.00000000
-0.78348700,0.03173925,0.00000000
-0.78340700,0.01586962,0.00000000
-0.78332700,0.04760887,0.00000000
-0.78324700,0.04760887,0.00000000
-0.78316700,0.04760887,0.00000000
-0.78308700,0.04760887,0.00000000
-0.78300700,0.04760887,0.00000000
-0.78292700,0.04760887,0.00000000
-0.78284700,0.04760887,0.00000000
-0.78276700,0.04760887,0.00000000
-0.78268700,0.04760887,0.00000000
-0.78260700,0.04760887,0.00000000
-0.78252700,0.04760887,0.00000000
-0.78244700,0.04760887,0.00000000
-0.78236700,0.04760887,0.00000000
-0.78228700,0.04760887,0.00000000
-0.78220700,0.04760887,0.00000000
-0.78212700,0.04760887,0.00000000
-0.78204700,0.04760887,0.00000000
-0.78196700,0.04760887,0.00000000
-0.78188700,0.03173925,0.00000000
-0.78180700,0.03173925,0.03967406
-0.78172700,0.06347850,0.03967406
-0.78164700,0.00000000,0.03967406
-0.78156700,0.04760887,0.03967406
-0.78148700,0.04760887,0.03967406
-0.78140700,0.04760887,0.07934812
-0.78132700,0.04760887,0.03967406
-0.78124700,0.04760887,0.03967406
-0.78116700,0.04760887,0.03967406
-0.78108700,0.04760887,0.03967406
-0.78100700,0.04760887,0.03967406
-0.78092700,0.04760887,0.03967406
-0.78084700,0.03173925,0.00000000
-0.78076700,0.03173925,0.00000000
-0.78068700,0.03173925,-0.07934812
-0.78060700,0.03173925,-0.07934812
-0.78052700,0.04760887,-0.07934812
-0.78044700,0.03173925,-0.07934812
