Time,Channel A,Channel B
(ms),(V),(V)

-3.15920706,0.04760887,0.00000000
-3.15888706,0.04760887,0.03967406
-3.15856706,0.06347850,0.03967406
-3.15824706,0.04760887,0.00000000
-3.15792706,0.06347850,0.00000000
-3.15760706,0.04760887,-0.07934812
-3.15728706,0.04760887,-0.07934812
-3.15696706,0.04760887,-0.03967406
-3.15664706,0.06347850,0.00000000
-3.15632706,0.06347850,0.00000000
-3.15600706,0.04760887,0.00000000
-3.15568706,0.04760887,-0.03967406
-3.15536706,0.04760887,-0.07934812
-3.15504706,0.04760887,-0.11902220
-3.15472706,0.04760887,-0.11902220
-3.15440706,0.04760887,-0.11902220
-3.15408706,0.04760887,-0.07934812
-3.15376706,0.03173925,-0.03967406
-3.15344706,0.04760887,-0.07934812
-3.15312706,0.04760887,-0.03967406
-3.15280706,0.04760887,-0.03967406
-3.15248706,0.04760887,-0.07934812
-3.15216706,0.03173925,-0.15869620
-3.15184706,0.06347850,-0.23804440
-3.15152706,0.06347850,-0.23804440
-3.15120706,0.01586962,-0.15869620
-3.15088706,0.04760887,-0.11902220
-3.15056706,0.03173925,-0.11902220
-3.15024706,0.04760887,-0.11902220
-3.14992706,0.04760887,-0.11902220
-3.14960706,0.04760887,-0.11902220
-3.14928706,0.04760887,-0.03967406
-3.14896706,0.06347850,-0.03967406
-3.14864706,0.04760887,-0.07934812
-3.14832706,0.04760887,-0.07934812
-3.14800706,0.06347850,-0.07934812
-3.14768706,0.04760887,-0.07934812
-3.14736706,0.04760887,-0.03967406
-3.14704706,0.03173925,0.00000000
-3.14672706,0.06347850,0.03967406
-3.14640706,0.04760887,0.03967406
-3.14608706,0.04760887,0.03967406
-3.14576706,0.04760887,0.00000000
-3.14544706,0.04760887,-0.03967406
-3.14512706,0.04760887,-0.07934812
-3.14480706,0.06347850,-0.07934812
-3.14448706,0.04760887,-0.07934812
-3.14416706,0.04760887,-0.03967406
-3.14384706,0.04760887,0.00000000
-3.14352706,0.04760887,-0.03967406
-3.14320706,0.04760887,-0.03967406
-3.14288706,0.04760887,-0.07934812
-3.14256706,0.04760887,-0.07934812
-3.14224706,0.04760887,-0.07934812
-3.14192706,0.04760887,-0.07934812
-3.14160706,0.04760887,-0.11902220
-3.14128706,0.06347850,-0.11902220
-3.14096706,0.03173925,-0.11902220
-3.14064706,0.04760887,-0.15869620
-3.14032706,0.03173925,-0.15869620
-3.14000706,0.03173925,-0.15869620
-3.13968706,0.06347850,-0.07934812
-3.13936706,0.04760887,-0.07934812
-3.13904706,0.04760887,-0.03967406
-3.13872706,0.04760887,-0.03967406
-3.13840706,0.06347850,0.00000000
-3.13808706,0.04760887,0.00000000
-3.13776706,0.04760887,0.00000000
-3.13744706,0.04760887,0.00000000
-3.13712706,0.04760887,0.03967406
-3.13680706,0.04760887,0.00000000
-3.13648706,0.04760887,0.00000000
-3.13616706,0.01586962,-0.03967406
-3.13584706,0.04760887,-0.03967406
-3.13552706,0.04760887,-0.03967406
-3.13520706,0.04760887,0.00000000
-3.13488706,0.04760887,0.00000000
-3.13456706,0.03173925,0.00000000
-3.13424706,0.04760887,-0.03967406
-3.13392706,0.04760887,-0.03967406
-3.13360706,0.06347850,-0.07934812
-3.13328706,0.06347850,-0.07934812
-3.13296706,0.04760887,-0.07934812
-3.13264706,0.03173925,0.00000000
-3.13232706,0.04760887,0.00000000
-3.13200706,0.03173925,0.00000000
-3.13168706,0.04760887,0.00000000
-3.13136706,0.04760887,0.00000000
-3.13104706,0.03173925,0.00000000
-3.13072706,0.04760887,0.00000000
-3.13040706,0.03173925,0.03967406
-3.13008706,0.03173925,0.03967406
-3.12976706,0.03173925,0.07934812
-3.12944706,0.03173925,0.03967406
-3.12912706,0.04760887,0.07934812
-3.12880706,0.03173925,0.07934812
-3.12848706,0.04760887,0.03967406
-3.12816706,0.04760887,0.03967406
-3.12784706,0.04760887,0.07934812
-3.12752706,0.04760887,0.07934812
-3.12720706,0.04760887,0.03967406
-3.12688706,0.04760887,0.03967406
-3.12656706,0.04760887,0.03967406
-3.12624706,0.03173925,0.00000000
-3.12592706,0.04760887,-0.03967406
-3.12560706,0.03173925,-0.07934812
-3.12528706,0.04760887,-0.11902220
-3.12496706,0.04760887,-0.11902220
-3.12464706,0.04760887,-0.07934812
-3.12432706,0.04760887,-0.03967406
-3.12400706,0.06347850,-0.03967406
-3.12368706,0.04760887,0.00000000
-3.12336706,0.04760887,-0.03967406
-3.12304706,0.04760887,-0.07934812
-3.12272706,0.04760887,-0.07934812
-3.12240706,0.04760887,-0.07934812
