Time,Channel A,Channel B
(ms),(V),(V)

-7.89792743,0.03173925,-0.03967406
-7.89728743,0.04760887,-0.11902220
-7.89664743,0.03173925,-0.11902220
-7.89600743,0.04760887,-0.03967406
-7.89536743,0.04760887,-0.11902220
-7.89472743,0.04760887,-0.07934812
-7.89408743,0.04760887,0.00000000
-7.89344743,0.04760887,0.00000000
-7.89280743,0.06347850,-0.03967406
-7.89216743,0.04760887,0.00000000
-7.89152743,0.01586962,0.00000000
-7.89088743,0.04760887,0.00000000
-7.89024743,0.04760887,0.00000000
-7.88960743,0.04760887,-0.07934812
-7.88896743,0.04760887,-0.15869620
-7.88832743,0.04760887,-0.15869620
-7.88768743,0.04760887,-0.11902220
-7.88704743,0.04760887,-0.07934812
-7.88640743,0.04760887,0.00000000
-7.88576743,0.04760887,0.03967406
-7.88512743,0.04760887,0.03967406
-7.88448743,0.04760887,0.00000000
-7.88384743,0.04760887,-0.03967406
-7.88320743,0.03173925,-0.07934812
-7.88256743,0.01586962,-0.03967406
-7.88192743,0.07934812,0.00000000
-7.88128743,0.06347850,-0.03967406
-7.88064743,0.04760887,-0.11902220
-7.88000743,0.04760887,-0.07934812
-7.87936743,0.04760887,-0.11902220
-7.87872743,0.04760887,-0.11902220
-7.87808743,0.03173925,-0.07934812
-7.87744743,0.04760887,-0.07934812
-7.87680743,0.04760887,-0.07934812
-7.87616743,0.04760887,-0.07934812
-7.87552743,0.04760887,-0.03967406
-7.87488743,0.04760887,-0.11902220
-7.87424743,0.04760887,-0.07934812
-7.87360743,0.04760887,-0.11902220
-7.87296743,0.04760887,-0.07934812
-7.87232743,0.04760887,-0.03967406
-7.87168743,0.04760887,0.00000000
-7.87104743,0.04760887,-0.07934812
-7.87040743,0.04760887,-0.07934812
-7.86976743,0.04760887,-0.07934812
-7.86912743,0.04760887,-0.07934812
-7.86848743,0.04760887,0.00000000
-7.86784743,0.06347850,0.00000000
-7.86720743,0.04760887,-0.03967406
-7.86656743,0.04760887,-0.07934812
-7.86592743,0.04760887,-0.03967406
-7.86528743,0.04760887,0.00000000
-7.86464743,0.04760887,0.00000000
-7.86400743,0.04760887,0.00000000
-7.86336743,0.04760887,0.03967406
-7.86272743,0.04760887,0.03967406
-7.86208743,0.04760887,0.00000000
-7.86144743,0.04760887,-0.07934812
-7.86080743,0.03173925,-0.03967406
-7.86016743,0.03173925,-0.11902220
-7.85952743,0.04760887,-0.15869620
-7.85888743,0.06347850,-0.15869620
-7.85824743,0.04760887,-0.11902220
-7.85760743,0.04760887,-0.07934812
-7.85696743,0.04760887,-0.03967406
-7.85632743,0.06347850,0.00000000
-7.85568743,0.06347850,0.03967406
-7.85504743,0.04760887,0.03967406
-7.85440743,0.04760887,0.03967406
-7.85376743,0.04760887,0.03967406
-7.85312743,0.06347850,0.03967406
-7.85248743,0.03173925,0.00000000
-7.85184743,0.04760887,-0.03967406
-7.85120743,0.06347850,-0.03967406
-7.85056743,0.04760887,-0.07934812
-7.84992743,0.04760887,-0.03967406
-7.84928743,0.04760887,0.00000000
-7.84864743,0.01586962,0.00000000
-7.84800743,0.04760887,-0.07934812
-7.84736743,0.04760887,-0.07934812
-7.84672743,0.04760887,-0.07934812
-7.84608743,0.06347850,-0.03967406
-7.84544743,0.04760887,0.00000000
-7.84480743,0.04760887,0.00000000
-7.84416743,0.03173925,-0.07934812
-7.84352743,0.04760887,-0.07934812
-7.84288743,0.04760887,-0.07934812
-7.84224743,0.04760887,-0.07934812
-7.84160743,0.06347850,-0.03967406
-7.84096743,0.06347850,0.00000000
-7.84032743,0.04760887,0.00000000
-7.83968743,0.04760887,0.00000000
-7.83904743,0.03173925,0.00000000
-7.83840743,0.06347850,0.00000000
-7.83776743,0.04760887,0.00000000
-7.83712743,0.04760887,0.00000000
-7.83648743,0.04760887,0.03967406
-7.83584743,0.03173925,0.07934812
-7.83520743,0.04760887,0.07934812
-7.83456743,0.04760887,0.03967406
-7.83392743,0.04760887,0.03967406
-7.83328743,0.04760887,-0.03967406
-7.83264743,0.03173925,-0.07934812
-7.83200743,0.04760887,-0.11902220
-7.83136743,0.04760887,-0.11902220
-7.83072743,0.04760887,-0.11902220
-7.83008743,0.06347850,-0.11902220
-7.82944743,0.04760887,-0.11902220
-7.82880743,0.06347850,-0.15869620
-7.82816743,0.04760887,-0.07934812
-7.82752743,0.04760887,-0.15869620
-7.82688743,0.06347850,-0.11902220
-7.82624743,0.03173925,-0.11902220
-7.82560743,0.03173925,-0.23804440
-7.82496743,0.04760887,-0.15869620
-7.82432743,0.06347850,-0.07934812
