Time,Channel A,Channel B
(ms),(V),(V)

-8.78400735,0.06378368,0.00000000
-8.78272735,0.06378368,0.00000000
-8.78144735,0.06378368,0.00000000
-8.78016735,0.06378368,0.00000000
-8.77888735,0.06378368,-0.15869620
-8.77760735,0.06378368,0.00000000
-8.77632735,0.06378368,0.00000000
-8.77504735,0.06378368,0.00000000
-8.77376735,0.06378368,0.00000000
-8.77248735,0.06378368,-0.15869620
-8.77120735,0.06378368,-0.15869620
-8.76992735,0.06378368,-0.15869620
-8.76864735,0.06378368,-0.15869620
-8.76736735,0.06378368,-0.31739250
-8.76608735,0.06378368,-0.15869620
-8.76480735,0.06378368,-0.15869620
-8.76352735,0.06378368,0.00000000
-8.76224735,0.06378368,0.00000000
-8.76096735,0.06378368,-0.15869620
-8.75968735,0.06378368,-0.15869620
-8.75840735,0.06317332,-0.15869620
-8.75712735,0.06317332,0.00000000
-8.75584735,0.06317332,-0.15869620
-8.75456735,0.06317332,0.00000000
-8.75328735,0.06256294,-0.15869620
-8.75200735,0.06256294,-0.15869620
-8.75072735,0.06256294,-0.15869620
-8.74944735,0.06256294,-0.31739250
-8.74816735,0.06256294,-0.15869620
-8.74688735,0.06256294,0.00000000
-8.74560735,0.06256294,-0.15869620
-8.74432735,0.06256294,-0.15869620
-8.74304735,0.06256294,-0.15869620
-8.74176735,0.06256294,-0.15869620
-8.74048735,0.06256294,-0.15869620
-8.73920735,0.06195258,0.00000000
-8.73792735,0.06195258,-0.15869620
-8.73664735,0.06195258,-0.15869620
-8.73536735,0.06195258,0.00000000
-8.73408735,0.06195258,-0.31739250
-8.73280735,0.06256294,0.31739250
-8.73152735,0.06256294,0.00000000
-8.73024735,0.06256294,0.00000000
-8.72896735,0.06256294,0.00000000
-8.72768735,0.06256294,0.00000000
-8.72640735,0.06317332,0.00000000
-8.72512735,0.06317332,0.00000000
-8.72384735,0.06317332,-0.31739250
-8.72256735,0.06317332,-0.15869620
-8.72128735,0.06378368,-0.15869620
-8.72000735,0.06378368,-0.15869620
-8.71872735,0.06439406,-0.15869620
-8.71744735,0.06439406,0.00000000
-8.71616735,0.06500442,0.00000000
-8.71488735,0.06561480,0.00000000
-8.71360735,0.06561480,-0.15869620
-8.71232735,0.06622516,-0.15869620
-8.71104735,0.06622516,0.00000000
-8.70976735,0.06622516,0.00000000
-8.70848735,0.06622516,-0.15869620
-8.70720735,0.06622516,-0.15869620
-8.70592735,0.06622516,-0.15869620
-8.70464735,0.06561480,-0.15869620
-8.70336735,0.06561480,0.00000000
-8.70208735,0.06622516,0.00000000
-8.70080735,0.06622516,0.00000000
-8.69952735,0.06561480,-0.15869620
-8.69824735,0.06622516,-0.15869620
-8.69696735,0.06622516,-0.15869620
-8.69568735,0.06561480,-0.15869620
-8.69440735,0.06622516,-0.15869620
-8.69312735,0.06622516,-0.15869620
-8.69184735,0.06683554,-0.31739250
-8.69056735,0.06683554,0.00000000
-8.68928735,0.06622516,-0.15869620
-8.68800735,0.06622516,-0.15869620
-8.68672735,0.06561480,0.00000000
-8.68544735,0.06561480,0.00000000
-8.68416735,0.06561480,0.00000000
-8.68288735,0.06500442,0.00000000
-8.68160735,0.06500442,0.00000000
-8.68032735,0.06500442,-0.15869620
-8.67904735,0.06561480,-0.15869620
-8.67776735,0.06622516,-0.15869620
-8.67648735,0.06622516,0.00000000
-8.67520735,0.06622516,0.00000000
-8.67392735,0.06683554,0.00000000
-8.67264735,0.06683554,-0.15869620
-8.67136735,0.06744590,0.00000000
-8.67008735,0.06805628,0.00000000
-8.66880735,0.06866664,0.00000000
-8.66752735,0.06866664,0.00000000
-8.66624735,0.06866664,0.00000000
-8.66496735,0.06927702,0.00000000
-8.66368735,0.06927702,0.15869620
-8.66240735,0.06927702,0.00000000
-8.66112735,0.06927702,0.00000000
-8.65984735,0.06927702,0.00000000
-8.65856735,0.06927702,0.00000000
-8.65728735,0.06988738,0.00000000
-8.65600735,0.06988738,0.00000000
-8.65472735,0.07049776,0.00000000
-8.65344735,0.07049776,0.00000000
-8.65216735,0.07049776,-0.15869620
-8.65088735,0.07049776,0.00000000
-8.64960735,0.07049776,0.15869620
-8.64832735,0.07049776,-0.15869620
-8.64704735,0.07049776,0.00000000
-8.64576735,0.07049776,-0.15869620
-8.64448735,0.07049776,-0.15869620
-8.64320735,0.07049776,0.00000000
-8.64192735,0.07049776,0.00000000
-8.64064735,0.07049776,0.00000000
-8.63936735,0.07049776,0.00000000
-8.63808735,0.07049776,-0.15869620
-8.63680735,0.07049776,-0.15869620
-8.63552735,0.07049776,0.00000000
