Time,Channel A,Channel B
(ms),(V),(V)

-3.18224703,0.07934812,-0.15869620
-3.18192703,0.15869620,-0.31739250
-3.18160703,0.15869620,-0.47608880
-3.18128703,0.07934812,-0.47608880
-3.18096703,0.15869620,-0.47608880
-3.18064703,0.07934812,-0.31739250
-3.18032703,0.15869620,-0.15869620
-3.18000703,0.15869620,-0.15869620
-3.17968703,0.15869620,0.00000000
-3.17936703,0.15869620,0.00000000
-3.17904703,0.15869620,-0.15869620
-3.17872703,0.15869620,-0.15869620
-3.17840703,0.15869620,-0.15869620
-3.17808703,0.15869620,-0.15869620
-3.17776703,0.15869620,-0.15869620
-3.17744703,0.15869620,0.00000000
-3.17712703,0.15869620,0.00000000
-3.17680703,0.07934812,0.00000000
-3.17648703,0.15869620,0.00000000
-3.17616703,0.15869620,0.00000000
-3.17584703,0.07934812,0.00000000
-3.17552703,0.07934812,0.00000000
-3.17520703,0.07934812,0.00000000
-3.17488703,0.07934812,0.15869620
-3.17456703,0.07934812,0.15869620
-3.17424703,0.07934812,0.15869620
-3.17392703,0.15869620,0.15869620
-3.17360703,0.15869620,0.15869620
-3.17328703,0.07934812,0.00000000
-3.17296703,0.07934812,0.00000000
-3.17264703,0.07934812,-0.15869620
-3.17232703,0.07934812,-0.15869620
-3.17200703,0.07934812,-0.15869620
-3.17168703,0.07934812,-0.15869620
-3.17136703,0.07934812,-0.15869620
-3.17104703,0.15869620,-0.31739250
-3.17072703,0.07934812,-0.31739250
-3.17040703,0.07934812,-0.31739250
-3.17008703,0.07934812,-0.15869620
-3.16976703,0.07934812,0.00000000
-3.16944703,0.07934812,0.15869620
-3.16912703,0.15869620,0.15869620
-3.16880703,0.15869620,0.15869620
-3.16848703,0.07934812,0.15869620
-3.16816703,0.07934812,0.00000000
-3.16784703,0.07934812,-0.15869620
-3.16752703,0.07934812,-0.47608880
-3.16720703,0.07934812,-0.47608880
-3.16688703,0.07934812,-0.47608880
-3.16656703,0.07934812,-0.31739250
-3.16624703,0.15869620,-0.15869620
-3.16592703,0.07934812,0.00000000
-3.16560703,0.07934812,0.00000000
-3.16528703,0.07934812,0.00000000
-3.16496703,0.07934812,0.00000000
-3.16464703,0.07934812,0.00000000
-3.16432703,0.15869620,0.00000000
-3.16400703,0.07934812,0.00000000
-3.16368703,0.07934812,0.00000000
-3.16336703,0.07934812,0.00000000
-3.16304703,0.07934812,0.15869620
-3.16272703,0.07934812,0.15869620
-3.16240703,0.07934812,0.15869620
-3.16208703,0.15869620,0.15869620
-3.16176703,0.15869620,0.00000000
-3.16144703,0.15869620,0.00000000
-3.16112703,0.15869620,-0.15869620
-3.16080703,0.15869620,-0.15869620
-3.16048703,0.15869620,-0.15869620
-3.16016703,0.15869620,-0.15869620
-3.15984703,0.15869620,-0.15869620
-3.15952703,0.15869620,-0.15869620
-3.15920703,0.15869620,-0.15869620
-3.15888703,0.15869620,-0.15869620
-3.15856703,0.15869620,-0.15869620
-3.15824703,0.15869620,0.00000000
-3.15792703,0.15869620,0.00000000
-3.15760703,0.15869620,0.00000000
-3.15728703,0.15869620,0.00000000
-3.15696703,0.15869620,-0.15869620
-3.15664703,0.15869620,0.00000000
-3.15632703,0.07934812,0.00000000
-3.15600703,0.07934812,-0.15869620
-3.15568703,0.15869620,-0.15869620
-3.15536703,0.15869620,-0.15869620
-3.15504703,0.15869620,-0.15869620
-3.15472703,0.15869620,-0.15869620
-3.15440703,0.15869620,0.00000000
-3.15408703,0.07934812,0.15869620
-3.15376703,0.15869620,0.47608880
-3.15344703,0.07934812,0.47608880
-3.15312703,0.07934812,0.47608880
-3.15280703,0.07934812,0.47608880
-3.15248703,0.07934812,0.31739250
-3.15216703,0.07934812,0.31739250
-3.15184703,0.15869620,0.15869620
-3.15152703,0.07934812,0.15869620
-3.15120703,0.15869620,0.15869620
-3.15088703,0.15869620,0.00000000
-3.15056703,0.15869620,0.00000000
-3.15024703,0.15869620,0.00000000
-3.14992703,0.15869620,0.00000000
-3.14960703,0.07934812,0.00000000
-3.14928703,0.15869620,0.00000000
-3.14896703,0.15869620,-0.15869620
-3.14864703,0.15869620,-0.15869620
-3.14832703,0.15869620,-0.15869620
-3.14800703,0.15869620,-0.15869620
-3.14768703,0.15869620,-0.15869620
-3.14736703,0.15869620,-0.15869620
-3.14704703,0.15869620,-0.15869620
-3.14672703,0.07934812,-0.15869620
-3.14640703,0.07934812,-0.15869620
-3.14608703,0.15869620,0.00000000
-3.14576703,0.15869620,-0.15869620
-3.14544703,0.15869620,-0.15869620
-3.14512703,0.07934812,-0.15869620
