Time,Channel A,Channel B
(ms),(V),(V)

-7.95424730,0.07934812,-0.15869620
-7.95360730,0.07934812,-0.15869620
-7.95296730,0.07934812,0.00000000
-7.95232730,0.07934812,-0.15869620
-7.95168730,0.07934812,0.00000000
-7.95104730,0.07934812,0.00000000
-7.95040730,0.07934812,0.00000000
-7.94976730,0.07934812,0.00000000
-7.94912730,0.07934812,0.15869620
-7.94848730,0.07934812,0.00000000
-7.94784730,0.07934812,0.00000000
-7.94720730,0.07934812,0.00000000
-7.94656730,0.07934812,-0.15869620
-7.94592730,0.07934812,-0.31739250
-7.94528730,0.07934812,-0.15869620
-7.94464730,0.07934812,-0.15869620
-7.94400730,0.07934812,0.00000000
-7.94336730,0.07934812,0.15869620
-7.94272730,0.07934812,0.15869620
-7.94208730,0.07934812,0.00000000
-7.94144730,0.07934812,0.00000000
-7.94080730,0.07934812,0.00000000
-7.94016730,0.07934812,-0.15869620
-7.93952730,0.07934812,0.00000000
-7.93888730,0.07934812,0.00000000
-7.93824730,0.07934812,0.00000000
-7.93760730,0.07934812,-0.15869620
-7.93696730,0.07934812,0.00000000
-7.93632730,0.07934812,0.15869620
-7.93568730,0.07934812,0.15869620
-7.93504730,0.07934812,0.31739250
-7.93440730,0.07934812,0.31739250
-7.93376730,0.07934812,0.15869620
-7.93312730,0.07934812,0.15869620
-7.93248730,0.07934812,0.00000000
-7.93184730,0.07934812,-0.15869620
-7.93120730,0.07934812,-0.15869620
-7.93056730,0.07934812,0.00000000
-7.92992730,0.07934812,0.00000000
-7.92928730,0.07934812,0.00000000
-7.92864730,0.07934812,0.00000000
-7.92800730,0.07934812,0.00000000
-7.92736730,0.07934812,0.00000000
-7.92672730,0.07934812,-0.15869620
-7.92608730,0.07934812,-0.15869620
-7.92544730,0.07934812,-0.15869620
-7.92480730,0.07934812,-0.15869620
-7.92416730,0.07934812,-0.15869620
-7.92352730,0.07934812,0.00000000
-7.92288730,0.07934812,0.00000000
-7.92224730,0.07934812,0.00000000
-7.92160730,0.07934812,0.00000000
-7.92096730,0.07934812,0.00000000
-7.92032730,0.07934812,0.15869620
-7.91968730,0.07934812,0.15869620
-7.91904730,0.07934812,-0.15869620
-7.91840730,0.07934812,-0.31739250
-7.91776730,0.07934812,-0.15869620
-7.91712730,0.07934812,-0.15869620
-7.91648730,0.07934812,-0.15869620
-7.91584730,0.07934812,0.15869620
-7.91520730,0.07934812,0.15869620
-7.91456730,0.07934812,0.00000000
-7.91392730,0.07934812,0.00000000
-7.91328730,0.07934812,-0.15869620
-7.91264730,0.07934812,-0.15869620
-7.91200730,0.07934812,-0.15869620
-7.91136730,0.07934812,0.00000000
-7.91072730,0.07934812,0.15869620
-7.91008730,0.07934812,0.15869620
-7.90944730,0.07934812,0.15869620
-7.90880730,0.07934812,0.15869620
-7.90816730,0.07934812,0.15869620
-7.90752730,0.07934812,0.00000000
-7.90688730,0.07934812,0.00000000
-7.90624730,0.07934812,-0.15869620
-7.90560730,0.07934812,0.00000000
-7.90496730,0.07934812,0.00000000
-7.90432730,0.07934812,0.00000000
-7.90368730,0.07934812,0.00000000
-7.90304730,0.07934812,-0.15869620
-7.90240730,0.07934812,-0.15869620
-7.90176730,0.07934812,-0.15869620
-7.90112730,0.07934812,0.00000000
-7.90048730,0.07934812,0.00000000
-7.89984730,0.07934812,-0.15869620
-7.89920730,0.07934812,-0.15869620
-7.89856730,0.07934812,-0.15869620
-7.89792730,0.07934812,0.00000000
-7.89728730,0.07934812,0.00000000
-7.89664730,0.07934812,0.00000000
-7.89600730,0.07934812,0.00000000
-7.89536730,0.07934812,0.00000000
-7.89472730,0.07934812,-0.15869620
-7.89408730,0.07934812,-0.15869620
-7.89344730,0.07934812,-0.15869620
-7.89280730,0.07934812,-0.15869620
-7.89216730,0.07934812,-0.31739250
-7.89152730,0.07934812,-0.47608880
-7.89088730,0.07934812,-0.63478500
-7.89024730,0.07934812,-0.31739250
-7.88960730,0.07934812,-0.31739250
-7.88896730,0.07934812,-0.15869620
-7.88832730,0.07934812,-0.15869620
-7.88768730,0.07934812,-0.15869620
-7.88704730,0.07934812,0.00000000
-7.88640730,0.07934812,0.00000000
-7.88576730,0.07934812,0.00000000
-7.88512730,0.07934812,0.00000000
-7.88448730,0.07934812,-0.15869620
-7.88384730,0.07934812,-0.15869620
-7.88320730,0.07934812,-0.15869620
-7.88256730,0.07934812,0.00000000
-7.88192730,0.07934812,0.15869620
-7.88128730,0.07934812,0.15869620
-7.88064730,0.07934812,0.15869620
-7.88000730,0.07934812,0.00000000
