Time,Channel A,Channel B
(ms),(V),(V)

-3.18128695,0.08026368,-0.15869620
-3.18096695,0.08026368,-0.15869620
-3.18064695,0.08026368,-0.15869620
-3.18032695,0.08026368,-0.15869620
-3.18000695,0.08026368,0.00000000
-3.17968695,0.08026368,0.15869620
-3.17936695,0.08026368,0.15869620
-3.17904695,0.08026368,0.15869620
-3.17872695,0.08026368,0.15869620
-3.17840695,0.08026368,0.00000000
-3.17808695,0.08026368,0.00000000
-3.17776695,0.08026368,0.00000000
-3.17744695,0.08026368,0.00000000
-3.17712695,0.08026368,0.00000000
-3.17680695,0.08026368,0.00000000
-3.17648695,0.08026368,0.00000000
-3.17616695,0.08026368,0.00000000
-3.17584695,0.08026368,0.15869620
-3.17552695,0.08026368,0.15869620
-3.17520695,0.08026368,0.15869620
-3.17488695,0.08026368,0.00000000
-3.17456695,0.08026368,0.00000000
-3.17424695,0.08026368,-0.15869620
-3.17392695,0.08026368,-0.15869620
-3.17360695,0.08026368,-0.15869620
-3.17328695,0.08026368,-0.31739250
-3.17296695,0.08026368,-0.15869620
-3.17264695,0.08026368,-0.15869620
-3.17232695,0.08026368,-0.15869620
-3.17200695,0.08026368,-0.15869620
-3.17168695,0.08026368,-0.15869620
-3.17136695,0.08026368,-0.15869620
-3.17104695,0.08026368,-0.31739250
-3.17072695,0.08026368,-0.31739250
-3.17040695,0.08026368,-0.31739250
-3.17008695,0.08026368,-0.31739250
-3.16976695,0.08026368,-0.31739250
-3.16944695,0.08026368,-0.31739250
-3.16912695,0.08026368,-0.31739250
-3.16880695,0.08026368,-0.15869620
-3.16848695,0.08026368,-0.15869620
-3.16816695,0.08026368,-0.15869620
-3.16784695,0.08026368,-0.15869620
-3.16752695,0.08026368,-0.31739250
-3.16720695,0.08026368,-0.31739250
-3.16688695,0.08026368,-0.31739250
-3.16656695,0.08026368,-0.31739250
-3.16624695,0.08026368,-0.15869620
-3.16592695,0.08026368,-0.15869620
-3.16560695,0.08026368,-0.31739250
-3.16528695,0.08026368,-0.31739250
-3.16496695,0.08026368,-0.31739250
-3.16464695,0.08026368,-0.15869620
-3.16432695,0.08026368,-0.15869620
-3.16400695,0.08026368,-0.15869620
-3.16368695,0.08026368,-0.15869620
-3.16336695,0.08026368,-0.15869620
-3.16304695,0.08026368,-0.15869620
-3.16272695,0.08026368,-0.15869620
-3.16240695,0.08026368,-0.15869620
-3.16208695,0.08026368,0.00000000
-3.16176695,0.08026368,0.15869620
-3.16144695,0.08026368,0.15869620
-3.16112695,0.08026368,0.15869620
-3.16080695,0.08026368,0.00000000
-3.16048695,0.08026368,0.00000000
-3.16016695,0.08026368,0.00000000
-3.15984695,0.08026368,0.00000000
-3.15952695,0.08026368,0.00000000
-3.15920695,0.08026368,-0.15869620
-3.15888695,0.08026368,-0.15869620
-3.15856695,0.08026368,-0.15869620
-3.15824695,0.08026368,0.00000000
-3.15792695,0.08026368,0.00000000
-3.15760695,0.08026368,0.00000000
-3.15728695,0.08026368,0.00000000
-3.15696695,0.08026368,0.00000000
-3.15664695,0.08026368,-0.15869620
-3.15632695,0.08026368,-0.15869620
-3.15600695,0.08026368,-0.15869620
-3.15568695,0.08026368,-0.15869620
-3.15536695,0.08026368,-0.15869620
-3.15504695,0.08026368,0.00000000
-3.15472695,0.08026368,0.00000000
-3.15440695,0.07995850,0.00000000
-3.15408695,0.07995850,0.00000000
-3.15376695,0.07995850,0.00000000
-3.15344695,0.07995850,-0.15869620
-3.15312695,0.07995850,-0.15869620
-3.15280695,0.07995850,-0.15869620
-3.15248695,0.07995850,-0.31739250
-3.15216695,0.07995850,-0.31739250
-3.15184695,0.07995850,-0.15869620
-3.15152695,0.07995850,0.00000000
-3.15120695,0.07995850,0.00000000
-3.15088695,0.07995850,0.15869620
-3.15056695,0.07995850,0.15869620
-3.15024695,0.07995850,0.00000000
-3.14992695,0.07995850,0.00000000
-3.14960695,0.07995850,0.00000000
-3.14928695,0.07995850,0.00000000
-3.14896695,0.07995850,0.00000000
-3.14864695,0.07995850,-0.15869620
-3.14832695,0.07995850,-0.15869620
-3.14800695,0.07995850,0.00000000
-3.14768695,0.07995850,0.00000000
-3.14736695,0.07995850,0.00000000
-3.14704695,0.07995850,0.00000000
-3.14672695,0.07995850,0.00000000
-3.14640695,0.07995850,0.00000000
-3.14608695,0.07995850,0.00000000
-3.14576695,0.07995850,-0.15869620
-3.14544695,0.07995850,-0.15869620
-3.14512695,0.07995850,0.00000000
-3.14480695,0.07995850,0.00000000
-3.14448695,0.07995850,0.00000000
-3.14416695,0.07995850,0.00000000
