Time,Channel A,Channel B
(ms),(V),(V)

-165.83169416,0.01586962,-0.03967406
-165.82145416,0.01190222,-0.07934812
-165.81121416,0.01983703,0.00000000
-165.80097416,0.01586962,-0.03967406
-165.79073416,0.01190222,-0.07934812
-165.78049416,0.01190222,-0.03967406
-165.77025416,0.00793481,-0.07934812
-165.76001416,0.00793481,-0.03967406
-165.74977416,0.00793481,-0.07934812
-165.73953416,0.00000000,0.00000000
-165.72929416,-0.00793481,-0.03967406
-165.71905416,0.00000000,-0.07934812
-165.70881416,-0.00793481,-0.03967406
-165.69857416,-0.00793481,-0.03967406
-165.68833416,-0.00793481,-0.07934812
-165.67809416,-0.01586962,0.00000000
-165.66785416,-0.01190222,0.00000000
-165.65761416,-0.00793481,0.00000000
-165.64737416,0.00000000,0.00000000
-165.63713416,-0.00396741,-0.07934812
-165.62689416,0.00000000,-0.03967406
-165.61665416,0.00000000,0.00000000
-165.60641416,-0.01190222,0.00000000
-165.59617416,-0.01190222,0.00000000
-165.58593416,-0.01586962,-0.03967406
-165.57569416,-0.01983703,-0.07934812
-165.56545416,-0.01586962,0.00000000
-165.55521416,-0.01586962,-0.03967406
-165.54497416,-0.01190222,-0.03967406
-165.53473416,-0.01190222,-0.03967406
-165.52449416,-0.00793481,0.00000000
-165.51425416,-0.00396741,0.00000000
-165.50401416,-0.00396741,0.00000000
-165.49377417,0.00396741,0.00000000
-165.48353417,0.00396741,-0.07934812
-165.47329417,0.00793481,-0.07934812
-165.46305417,0.00793481,0.00000000
-165.45281417,0.00396741,-0.07934812
-165.44257417,0.00000000,-0.03967406
-165.43233417,-0.00793481,0.00000000
-165.42209417,-0.00793481,-0.03967406
-165.41185417,-0.00793481,0.00000000
-165.40161417,-0.00396741,-0.03967406
-165.39137417,0.00000000,-0.07934812
-165.38113417,0.00000000,0.00000000
-165.37089417,0.00000000,0.00000000
-165.36065417,0.00000000,-0.03967406
-165.35041417,-0.00396741,-0.03967406
-165.34017417,-0.00396741,0.00000000
-165.32993417,-0.00396741,-0.03967406
-165.31969417,-0.00793481,0.00000000
-165.30945417,0.00000000,0.00000000
-165.29921417,0.00000000,0.00000000
-165.28897417,0.00000000,0.00000000
-165.27873417,0.00000000,0.00000000
-165.26849417,-0.00396741,-0.03967406
-165.25825417,-0.00396741,-0.03967406
-165.24801417,-0.00396741,-0.03967406
-165.23777417,-0.00396741,0.00000000
-165.22753417,0.00000000,0.00000000
-165.21729417,0.00396741,0.03967406
-165.20705417,0.00000000,-0.03967406
-165.19681417,0.00793481,-0.07934812
-165.18657417,0.00000000,0.00000000
-165.17633417,0.00396741,0.00000000
-165.16609417,0.00396741,-0.07934812
-165.15585417,0.00396741,-0.03967406
-165.14561417,0.00793481,-0.03967406
-165.13537417,-0.00396741,0.00000000
-165.12513417,0.00000000,0.00000000
-165.11489417,-0.00396741,-0.03967406
-165.10465417,0.00000000,0.00000000
-165.09441417,0.00000000,-0.03967406
-165.08417417,-0.00396741,-0.07934812
-165.07393417,-0.00396741,0.00000000
-165.06369417,-0.00396741,-0.07934812
-165.05345417,-0.00793481,-0.07934812
-165.04321417,-0.00396741,-0.03967406
-165.03297417,-0.00793481,0.00000000
-165.02273417,-0.01190222,0.00000000
-165.01249417,-0.00396741,-0.03967406
-165.00225417,-0.00396741,0.00000000
-164.99201417,0.00000000,0.00000000
-164.98177417,0.00000000,0.00000000
-164.97153417,-0.00396741,-0.07934812
-164.96129417,-0.00396741,0.00000000
-164.95105417,-0.00793481,0.00000000
-164.94081417,-0.01190222,0.00000000
-164.93057417,-0.00396741,-0.03967406
-164.92033417,-0.00396741,0.00000000
-164.91009417,-0.00396741,-0.07934812
-164.89985417,0.00396741,-0.07934812
-164.88961417,-0.00396741,-0.03967406
-164.87937417,-0.00793481,0.00000000
-164.86913417,-0.00396741,-0.03967406
-164.85889417,-0.00793481,-0.07934812
-164.84865417,-0.00396741,-0.03967406
-164.83841417,0.00000000,0.00000000
-164.82817417,0.00793481,-0.03967406
-164.81793417,0.00396741,-0.07934812
-164.80769417,0.00000000,-0.03967406
-164.79745417,0.00793481,-0.07934812
-164.78721417,0.00793481,-0.03967406
-164.77697417,0.00793481,0.00000000
-164.76673417,0.01586962,0.00000000
-164.75649417,0.00793481,-0.03967406
-164.74625417,-0.00396741,0.00000000
-164.73601417,0.00000000,0.00000000
-164.72577417,-0.00793481,-0.03967406
-164.71553417,-0.01190222,-0.03967406
-164.70529417,-0.01190222,-0.03967406
-164.69505417,-0.01586962,0.03967406
-164.68481417,-0.00396741,-0.03967406
