Time,Channel A,Channel B
(ms),(V),(V)

-82.91584708,0.00396741,-0.07934812
-82.91072708,0.00793481,0.00000000
-82.90560708,0.01190222,-0.07934812
-82.90048708,0.00793481,0.00000000
-82.89536708,0.01190222,0.00000000
-82.89024708,0.01190222,-0.07934812
-82.88512708,0.00793481,0.00000000
-82.88000708,0.00396741,-0.03967406
-82.87488708,0.00396741,-0.03967406
-82.86976708,0.00396741,0.03967406
-82.86464708,0.00793481,0.00000000
-82.85952708,0.00793481,-0.03967406
-82.85440708,0.00000000,0.00000000
-82.84928708,0.00396741,-0.03967406
-82.84416708,-0.00396741,-0.07934812
-82.83904708,-0.00396741,-0.03967406
-82.83392708,0.00000000,0.00000000
-82.82880708,-0.00793481,-0.07934812
-82.82368708,-0.00793481,0.00000000
-82.81856708,-0.00396741,-0.03967406
-82.81344708,0.00000000,0.00000000
-82.80832708,0.00793481,-0.07934812
-82.80320708,0.00396741,0.00000000
-82.79808708,0.00000000,0.00000000
-82.79296708,-0.00396741,-0.03967406
-82.78784708,-0.00793481,0.00000000
-82.78272708,-0.00396741,-0.03967406
-82.77760708,0.00000000,0.00000000
-82.77248708,0.00793481,-0.07934812
-82.76736708,0.01586962,-0.03967406
-82.76224708,0.01586962,-0.07934812
-82.75712708,0.01586962,-0.03967406
-82.75200708,0.00793481,-0.07934812
-82.74688708,0.00000000,0.00000000
-82.74176708,-0.00396741,-0.03967406
-82.73664708,0.00000000,0.00000000
-82.73152708,0.00000000,0.07934812
-82.72640708,-0.00396741,0.00000000
-82.72128708,0.00000000,-0.07934812
-82.71616708,-0.00396741,-0.03967406
-82.71104708,0.00396741,-0.07934812
-82.70592708,0.01586962,0.00000000
-82.70080708,0.01586962,-0.07934812
-82.69568708,0.01586962,-0.03967406
-82.69056708,0.01190222,-0.03967406
-82.68544708,0.00793481,0.00000000
-82.68032708,0.01586962,-0.03967406
-82.67520708,0.02380444,-0.07934812
-82.67008708,0.01586962,-0.03967406
-82.66496708,0.01190222,-0.07934812
-82.65984708,0.00396741,-0.03967406
-82.65472708,0.00000000,0.00000000
-82.64960708,0.00396741,-0.07934812
-82.64448708,0.00396741,-0.07934812
-82.63936708,0.00793481,-0.07934812
-82.63424708,0.00793481,-0.03967406
-82.62912708,0.00396741,0.00000000
-82.62400708,0.01586962,-0.03967406
-82.61888708,0.01983703,-0.03967406
-82.61376708,0.01190222,-0.03967406
-82.60864708,0.01586962,-0.07934812
-82.60352708,0.00793481,0.00000000
-82.59840708,0.00000000,-0.03967406
-82.59328708,0.00793481,0.00000000
-82.58816708,0.00793481,-0.03967406
-82.58304708,0.00396741,-0.07934812
-82.57792708,0.00793481,-0.07934812
-82.57280708,0.01190222,0.00000000
-82.56768708,0.00793481,-0.07934812
-82.56256708,0.00396741,0.00000000
-82.55744708,-0.00396741,0.00000000
-82.55232708,-0.01586962,0.00000000
-82.54720708,-0.01586962,-0.03967406
-82.54208708,-0.01190222,-0.03967406
-82.53696708,-0.00793481,-0.03967406
-82.53184708,-0.00793481,0.00000000
-82.52672708,-0.00396741,-0.03967406
-82.52160708,-0.00396741,-0.03967406
-82.51648708,-0.00396741,0.00000000
-82.51136708,0.00000000,-0.07934812
-82.50624708,0.00000000,0.00000000
-82.50112708,0.00396741,0.00000000
-82.49600708,0.00793481,-0.07934812
-82.49088708,0.01190222,-0.03967406
-82.48576708,0.01983703,-0.07934812
-82.48064708,0.01586962,0.00000000
-82.47552708,0.01190222,0.00000000
-82.47040708,0.00793481,-0.03967406
-82.46528708,0.00000000,-0.07934812
-82.46016708,0.00000000,-0.03967406
-82.45504708,0.00000000,-0.03967406
-82.44992708,0.00000000,0.00000000
-82.44480708,0.00000000,-0.03967406
-82.43968708,0.00000000,0.00000000
-82.43456708,0.00000000,0.00000000
-82.42944708,0.00793481,-0.03967406
-82.42432708,0.00793481,-0.03967406
-82.41920708,0.01586962,-0.03967406
-82.41408708,0.01586962,-0.03967406
-82.40896708,0.00396741,-0.03967406
-82.40384708,0.00396741,-0.03967406
-82.39872708,0.00396741,-0.03967406
-82.39360708,0.00000000,-0.03967406
-82.38848708,0.00396741,-0.07934812
-82.38336708,0.00396741,-0.03967406
-82.37824708,-0.00396741,0.00000000
-82.37312708,0.00000000,-0.03967406
-82.36800708,0.00000000,0.00000000
-82.36288708,0.00396741,-0.03967406
-82.35776708,0.00396741,-0.07934812
-82.35264708,0.00000000,-0.03967406
-82.34752708,0.00000000,0.00000000
-82.34240708,-0.00396741,0.00000000
-82.33728709,-0.00396741,0.00000000
-82.33216709,0.00396741,-0.03967406
