Time,Channel A,Channel B
0.00511731,0.0,0.4760888
0.01535731,0.2380444,-3.015839
0.02559731,0.872982,-4.285409
0.03583731,1.428571,-4.444105
0.04607731,1.90466,-4.761498
0.05631731,2.222205,-4.761498
0.06655731,2.499924,-4.761498
0.07679731,2.65862,-4.761498
0.08703731,2.777642,-4.761498
0.09727731,2.857143,-4.920194
0.10751731,2.936491,-4.920194
0.11775731,2.976165,-4.761498
0.12799731,3.015839,-4.920194
0.13823731,3.015839,-4.761498
0.14847731,3.055513,-4.761498
0.15871731,3.015839,-4.920194
0.16895731,3.015839,-4.920194
0.17919731,2.976165,-4.761498
0.18943731,2.976165,-4.761498
0.19967731,2.936491,-4.761498
0.20991731,2.936491,-4.602802
0.22015731,2.936491,-4.602802
0.23039731,2.857143,-4.602802
0.24063731,2.857143,-4.602802
0.25087731,2.817316,-4.602802
0.26111731,2.777642,-4.602802
0.27135731,2.737968,-4.285409
0.28159731,2.737968,-4.444105
0.29183731,2.698294,-4.285409
0.30207731,2.65862,-4.285409
0.31231731,2.65862,-4.285409
0.32255731,2.618946,-4.126713
0.33279731,2.539598,-4.126713
0.34303731,2.539598,-4.126713
0.35327731,2.499924,-3.80932
0.36351731,2.46025,-3.968017
0.37375731,2.420576,-3.80932
0.38399731,2.420576,-3.80932
0.39423731,2.341228,-3.80932
0.40447731,2.341228,-3.650624
0.41471731,2.301553,-3.650624
0.42495731,2.261879,-3.491928
0.43519731,2.222205,-3.491928
0.44543731,2.182531,-3.333232
0.45567731,2.142857,-3.491928
0.46591731,2.10303,-3.333232
0.47615731,2.063356,-3.174535
0.48639731,2.023682,-3.174535
0.49663731,2.023682,-3.174535
0.50687731,1.984008,-3.015839
0.51711731,1.944334,-2.857143
0.52735731,1.864986,-2.857143
0.53759731,1.864986,-2.697836
0.54783731,1.825312,-2.857143
0.55807731,1.785638,-2.697836
0.56831731,1.745964,-2.697836
0.57855731,1.70629,-2.53914
0.58879731,1.666616,-2.53914
0.59903731,1.626942,-2.380444
0.60927731,1.587268,-2.380444
0.61951731,1.547594,-2.380444
0.62975731,1.547594,-2.221747
0.63999731,1.547594,-2.221747
0.65023731,1.468246,-2.221747
0.66047731,1.428571,-2.063051
0.67071731,1.388745,-1.904355
0.68095731,1.349071,-2.063051
0.69119731,1.349071,-1.904355
0.70143731,1.309397,-1.745659
0.71167731,1.269723,-1.904355
0.72191731,1.230049,-1.745659
0.73215731,1.230049,-1.745659
0.74239731,1.190374,-1.745659
0.75263731,1.190374,-1.586962
0.76287731,1.1507,-1.586962
0.77311731,1.111026,-1.586962
0.78335731,1.111026,-1.586962
0.79359731,1.071352,-1.586962
0.80383731,1.031678,-1.428266
0.81407731,1.031678,-1.26957
0.82431731,0.9523301,-1.428266
0.83455731,0.9523301,-1.26957
0.84479731,0.912656,-1.26957
0.8550373,0.912656,-1.26957
0.8652773,0.912656,-1.110874
0.8755173,0.872982,-1.110874
0.8857573,0.8333079,-1.110874
0.8959973,0.8333079,-1.110874
0.9062373,0.8333079,-0.7934812
0.9164773,0.7936338,-1.110874
0.9267173,0.7539598,-1.110874
0.9369573,0.7539598,-0.9521775
0.9471973,0.7539598,-0.9521775
0.9574373,0.7539598,-0.9521775
0.9676773,0.7539598,-0.9521775
0.9779173,0.7142857,-0.9521775
0.9881573,0.7142857,-0.9521775
0.9983973,0.674459,-0.7934812
1.0086373,0.674459,-0.7934812
1.0188773,0.634785,-0.634785
