Time,Channel A,Channel B
(ms),(V),(V)

-157.95712173,0.00000000,0.00000000
-157.94688173,0.00000000,0.00000000
-157.93664173,0.00000000,-0.15869620
-157.92640173,0.00000000,-0.15869620
-157.91616173,0.03967406,0.00000000
-157.90592173,0.00000000,-0.15869620
-157.89568173,0.00000000,0.00000000
-157.88544173,0.00000000,0.00000000
-157.87520173,0.00000000,-0.15869620
-157.86496173,0.00000000,-0.15869620
-157.85472173,0.00000000,-0.15869620
-157.84448173,0.03967406,-0.15869620
-157.83424173,0.00000000,0.00000000
-157.82400173,0.03967406,0.00000000
-157.81376173,0.00000000,0.00000000
-157.80352173,0.03967406,0.00000000
-157.79328173,0.03967406,0.00000000
-157.78304173,0.00000000,0.00000000
-157.77280173,0.03967406,0.00000000
-157.76256173,0.00000000,0.00000000
-157.75232173,0.03967406,-0.15869620
-157.74208173,0.00000000,-0.15869620
-157.73184173,0.03967406,-0.15869620
-157.72160173,0.03967406,0.00000000
-157.71136173,0.00000000,0.00000000
-157.70112173,0.00000000,0.00000000
-157.69088173,0.00000000,-0.15869620
-157.68064173,0.00000000,0.00000000
-157.67040173,0.00000000,-0.15869620
-157.66016173,0.00000000,-0.15869620
-157.64992173,0.03967406,0.00000000
-157.63968173,0.03967406,-0.15869620
-157.62944173,0.03967406,0.00000000
-157.61920173,0.00000000,-0.15869620
-157.60896173,0.00000000,0.00000000
-157.59872173,0.03967406,0.00000000
-157.58848173,0.00000000,-0.15869620
-157.57824173,0.03967406,-0.15869620
-157.56800173,0.03967406,0.00000000
-157.55776173,0.03967406,-0.15869620
-157.54752173,0.00000000,-0.15869620
-157.53728173,0.00000000,0.00000000
-157.52704173,0.00000000,-0.15869620
-157.51680173,0.00000000,-0.31739250
-157.50656173,0.03967406,-0.15869620
-157.49632173,0.03967406,-0.15869620
-157.48608173,0.03967406,-0.15869620
-157.47584173,0.03967406,-0.15869620
-157.46560173,0.00000000,-0.15869620
-157.45536173,0.00000000,-0.15869620
-157.44512173,0.00000000,-0.15869620
-157.43488173,0.03967406,-0.15869620
-157.42464173,0.00000000,-0.15869620
-157.41440173,0.03967406,-0.15869620
-157.40416173,0.00000000,-0.15869620
-157.39392173,0.00000000,0.00000000
-157.38368173,0.00000000,0.00000000
-157.37344173,0.03967406,0.00000000
-157.36320173,0.03967406,-0.15869620
-157.35296173,0.03967406,0.00000000
-157.34272173,0.03967406,0.00000000
-157.33248173,0.03967406,0.00000000
-157.32224173,0.00000000,-0.15869620
-157.31200173,0.03967406,-0.15869620
-157.30176173,0.03967406,-0.15869620
-157.29152173,0.03967406,0.00000000
-157.28128173,0.03967406,-0.15869620
-157.27104173,0.03967406,-0.15869620
-157.26080173,0.03967406,-0.15869620
-157.25056173,0.00000000,0.00000000
-157.24032173,0.00000000,-0.15869620
-157.23008173,0.03967406,-0.15869620
-157.21984173,0.03967406,-0.15869620
-157.20960173,0.03967406,-0.15869620
-157.19936173,0.03967406,0.00000000
-157.18912173,0.00000000,-0.15869620
-157.17888173,0.03967406,0.00000000
-157.16864173,0.03967406,-0.15869620
-157.15840173,0.03967406,-0.15869620
-157.14816173,0.03967406,0.00000000
-157.13792173,0.03967406,-0.15869620
-157.12768173,0.03967406,-0.15869620
-157.11744173,0.03967406,0.00000000
-157.10720174,0.03967406,-0.15869620
-157.09696174,0.03967406,-0.15869620
-157.08672174,0.00000000,-0.15869620
-157.07648174,0.00000000,0.00000000
-157.06624174,0.00000000,-0.15869620
-157.05600174,0.00000000,0.00000000
-157.04576174,0.03967406,0.00000000
-157.03552174,0.00000000,0.00000000
-157.02528174,0.03967406,-0.15869620
-157.01504174,0.03967406,-0.15869620
-157.00480174,0.00000000,0.00000000
-156.99456174,0.00000000,-0.15869620
-156.98432174,0.00000000,0.00000000
-156.97408174,0.03967406,-0.15869620
-156.96384174,0.00000000,-0.15869620
-156.95360174,0.00000000,-0.15869620
-156.94336174,0.03967406,0.00000000
-156.93312174,0.00000000,-0.15869620
-156.92288174,0.03967406,0.00000000
-156.91264174,0.00000000,-0.15869620
-156.90240174,0.03967406,0.00000000
-156.89216174,0.03967406,0.00000000
-156.88192174,0.00000000,0.00000000
-156.87168174,0.00000000,0.00000000
-156.86144174,0.00000000,0.00000000
-156.85120174,0.03967406,-0.15869620
-156.84096174,0.00000000,-0.15869620
-156.83072174,0.00000000,0.00000000
-156.82048174,0.03967406,-0.15869620
-156.81024174,0.03967406,-0.15869620
-156.80000174,0.00000000,0.00000000
-156.78976174,0.00000000,0.00000000
-156.77952174,0.00000000,0.00000000
