Time,Channel A
(ms),(V)

-31.59168590,0.07934812
-31.58912590,0.07934812
-31.58656590,0.07934812
-31.58400590,0.07934812
-31.58144590,0.07934812
-31.57888590,0.09918515
-31.57632590,0.11902220
-31.57376590,0.13885920
-31.57120590,0.13885920
-31.56864590,0.11902220
-31.56608590,0.09918515
-31.56352590,0.07934812
-31.56096590,0.07934812
-31.55840590,0.07934812
-31.55584590,0.07934812
-31.55328590,0.07934812
-31.55072590,0.07934812
-31.54816590,0.07934812
-31.54560590,0.07934812
-31.54304590,0.07934812
-31.54048590,0.07934812
-31.53792590,0.07934812
-31.53536590,0.07934812
-31.53280590,0.07934812
-31.53024590,0.07934812
-31.52768590,0.07934812
-31.52512590,0.07934812
-31.52256590,0.07934812
-31.52000590,0.07934812
-31.51744590,0.07934812
-31.51488590,0.07934812
-31.51232590,0.07934812
-31.50976590,0.07934812
-31.50720590,0.07934812
-31.50464590,0.07934812
-31.50208590,0.07934812
-31.49952590,0.07934812
-31.49696590,0.07934812
-31.49440590,0.07934812
-31.49184590,0.07934812
-31.48928590,0.07934812
-31.48672590,0.09918515
-31.48416590,0.09918515
-31.48160590,0.09918515
-31.47904590,0.09918515
-31.47648590,0.07934812
-31.47392590,0.07934812
-31.47136590,0.07934812
-31.46880590,0.07934812
-31.46624590,0.07934812
-31.46368590,0.09918515
-31.46112590,0.09918515
-31.45856590,0.09918515
-31.45600590,0.11902220
-31.45344590,0.11902220
-31.45088590,0.11902220
-31.44832590,0.13885920
-31.44576590,0.13885920
-31.44320590,0.11902220
-31.44064590,0.11902220
-31.43808590,0.11902220
-31.43552590,0.09918515
-31.43296590,0.09918515
-31.43040590,0.09918515
-31.42784590,0.07934812
-31.42528590,0.07934812
-31.42272590,0.07934812
-31.42016590,0.07934812
-31.41760590,0.07934812
-31.41504590,0.07934812
-31.41248590,0.07934812
-31.40992590,0.07934812
-31.40736590,0.07934812
-31.40480590,0.07934812
-31.40224590,0.07934812
-31.39968590,0.07934812
-31.39712590,0.07934812
-31.39456590,0.07934812
-31.39200590,0.07934812
-31.38944590,0.07934812
-31.38688590,0.07934812
-31.38432590,0.07934812
-31.38176590,0.07934812
-31.37920590,0.07934812
-31.37664590,0.07934812
-31.37408590,0.07934812
-31.37152590,0.07934812
-31.36896590,0.09918515
-31.36640590,0.09918515
-31.36384590,0.09918515
-31.36128590,0.11902220
-31.35872590,0.09918515
-31.35616590,0.11902220
-31.35360590,0.11902220
-31.35104590,0.09918515
-31.34848590,0.09918515
-31.34592590,0.07934812
-31.34336590,0.09918515
-31.34080590,0.09918515
-31.33824590,0.11902220
-31.33568590,0.13885920
-31.33312590,0.13885920
-31.33056590,0.15869620
-31.32800590,0.15869620
-31.32544590,0.15869620
-31.32288590,0.15869620
-31.32032590,0.13885920
-31.31776590,0.13885920
-31.31520590,0.13885920
-31.31264590,0.11902220
-31.31008590,0.11902220
-31.30752590,0.09918515
-31.30496590,0.09918515
-31.30240590,0.11902220
-31.29984590,0.11902220
-31.29728590,0.11902220
-31.29472590,0.11902220
-31.29216590,0.09918515
