Time,Channel A,Channel B
0.00510483,0.00396741,0.00000000
0.01534483,0.01983703,2.73796800
0.02558483,0.04760887,-0.23804440
0.03582483,0.10712,0.55543680
0.04606483,0.1825007,-0.27771840
0.05630483,0.2618488,-0.47608880
0.06654483,0.3213599,-0.55543680
0.07678483,0.3690298,-0.63478500
0.08702483,0.4047365,-0.55543680
0.09726483,0.4325083,-0.63478500
0.10750483,0.4523453,-0.59511100
0.11774483,0.4642476,-0.63478500
0.12798483,0.4721824,-0.63478500
0.13822483,0.4721824,-0.71428570
0.14846483,0.4801172,-0.63478500
0.15870483,0.4801172,-0.59511100
0.16894483,0.4840846,-0.67445900
0.17918483,0.4801172,-0.71428570
0.18942483,0.4761498,-0.71428570
0.19966483,0.4801172,-0.63478500
0.20990483,0.4801172,-0.71428570
0.22014483,0.488052,-0.63478500
0.23038483,0.488052,-0.63478500
0.24062483,0.4801172,-0.71428570
0.25086483,0.4801172,-0.63478500
0.26110483,0.4761498,-0.63478500
0.27134483,0.4761498,-0.63478500
0.28158483,0.4761498,-0.67445900
0.29182483,0.4642476,-0.67445900
0.30206483,0.4602802,-0.67445900
0.31230483,0.4483779,-0.71428570
0.32254483,0.4404431,-0.63478500
0.33278483,0.4364757,-0.63478500
0.34302483,0.4325083,-0.63478500
0.35326483,0.4325083,-0.59511100
0.36350483,0.4325083,-0.63478500
0.37374483,0.4285409,-0.63478500
0.38398483,0.4166387,-0.63478500
0.39422483,0.4126713,-0.63478500
0.40446483,0.4087039,-0.63478500
0.41470483,0.4126713,-0.59511100
0.42494483,0.4126713,-0.59511100
0.43518483,0.4126713,-0.63478500
0.44542483,0.4087039,-0.59511100
0.45566483,0.4007691,-0.63478500
0.46590483,0.4007691,-0.59511100
0.47614483,0.3928342,-0.63478500
0.48638483,0.3848994,-0.55543680
0.49662483,0.380932,-0.55543680
0.50686483,0.3729972,-0.59511100
0.51710483,0.3690298,-0.55543680
0.52734483,0.3690298,-0.47608880
0.53758483,0.3650624,-0.51576280
0.54782483,0.361095,-0.55543680
0.55806483,0.3531602,-0.47608880
0.56830483,0.3452254,-0.51576280
0.57854483,0.3333232,-0.47608880
0.58878483,0.3333232,-0.55543680
0.59902483,0.3293557,-0.51576280
0.60926483,0.3253883,-0.47608880
0.61950483,0.3174535,-0.47608880
0.62974483,0.3055513,-0.39674060
0.63998483,0.3015839,-0.39674060
0.65022483,0.2976165,-0.47608880
0.66046483,0.2976165,-0.39674060
0.67070483,0.2896207,-0.43641470
0.68094483,0.2896207,-0.43641470
0.69118482,0.2856532,-0.43641470
0.70142482,0.2777184,-0.39674060
0.71166482,0.273751,-0.39674060
0.72190482,0.2658162,-0.39674060
0.73214482,0.2578814,-0.35706660
0.74238482,0.2578814,-0.35706660
0.75262482,0.253914,-0.27771840
0.76286482,0.2459792,-0.39674060
0.77310482,0.2420118,-0.27771840
0.78334482,0.2380444,-0.39674060
0.79358482,0.2380444,-0.27771840
0.80382482,0.234077,-0.31739250
0.81406482,0.234077,-0.27771840
0.82430482,0.2261422,-0.31739250
0.83454482,0.2182073,-0.31739250
0.84478482,0.2182073,-0.27771840
0.85502482,0.2102725,-0.27771840
0.86526482,0.2182073,-0.31739250
0.87550482,0.2182073,-0.23804440
0.88574482,0.2102725,-0.23804440
0.89598482,0.2063051,-0.31739250
0.90622482,0.1983703,-0.23804440
0.91646482,0.1944029,-0.23804440
0.92670482,0.1983703,-0.19837030
0.93694482,0.1983703,-0.23804440
0.94718482,0.1864681,-0.23804440
0.95742482,0.1785333,-0.15869620
0.96766482,0.1705985,-0.23804440
0.97790482,0.1626637,-0.23804440
0.98814482,0.1586962,-0.23804440
0.99838482,0.1586962,-0.19837030
1.00862482,0.1547288,-0.23804440
1.01886482,0.1507614,-0.11902220
1.02910482,0.1547288,-0.23804440
1.03934482,0.1507614,-0.23804440
1.04958482,0.1507614,-0.15869620
1.05982482,0.1547288,-0.15869620
1.07006482,0.1507614,-0.19837030
1.08030482,0.146794,-0.15869620
1.09054482,0.1388592,-0.15869620
1.10078482,0.1348918,-0.11902220
1.11102482,0.1309244,-0.15869620
1.12126482,0.1309244,-0.11902220
1.13150482,0.1309244,-0.15869620
1.14174482,0.1229896,-0.11902220
1.15198482,0.1229896,-0.07934812
1.16222482,0.1229896,-0.07934812
1.17246482,0.1229896,-0.15869620
1.18270482,0.126957,-0.11902220
1.19294482,0.1309244,-0.11902220
1.20318482,0.1348918,-0.11902220
1.21342482,0.1309244,-0.07934812
1.22366482,0.126957,-0.15869620
1.23390482,0.1150548,-0.11902220
1.24414482,0.10712,-0.07934812
1.25438482,0.10712,-0.07934812
1.26462482,0.10712,-0.11902220
1.27486482,0.10712,-0.11902220
1.28510482,0.10712,-0.07934812
1.29534482,0.10712,-0.11902220
1.30558482,0.1110874,-0.11902220
1.31582482,0.1150548,-0.03967406
1.32606482,0.1110874,-0.07934812
1.33630482,0.10712,-0.07934812
1.34654482,0.09918515,-0.03967406
1.35678482,0.09521775,-0.07934812
1.36702482,0.1031526,-0.07934812
1.37726482,0.10712,-0.03967406
1.38750482,0.1031526,-0.07934812
1.39774482,0.1031526,-0.07934812
1.40798482,0.09918515,-0.07934812
1.41822482,0.09521775,-0.03967406
1.42846482,0.09521775,-0.07934812
1.43870482,0.09125035,-0.07934812
1.44894482,0.08728294,-0.07934812
1.45918482,0.08331553,-0.03967406
1.46942482,0.08331553,-0.07934812
1.47966482,0.08331553,-0.07934812
1.48990482,0.07538072,-0.03967406
1.50014482,0.07934812,-0.07934812
1.51038482,0.08331553,-0.03967406
1.52062482,0.08331553,-0.03967406
1.53086482,0.08728294,-0.07934812
1.54110482,0.08331553,-0.07934812
1.55134482,0.07934812,-0.03967406
1.56158482,0.07538072,-0.03967406
1.57182482,0.07538072,0.00000000
1.58206482,0.0674459,-0.03967406
1.59230482,0.0674459,-0.07934812
1.60254482,0.07538072,-0.03967406
1.61278482,0.07538072,-0.07934812
1.62302482,0.08331553,-0.03967406
1.63326482,0.08331553,-0.07934812
1.64350482,0.07934812,-0.07934812
1.65374482,0.08331553,0.00000000
1.66398482,0.07934812,0.00000000
1.67422482,0.07934812,0.00000000
1.68446482,0.07538072,-0.07934812
1.69470482,0.07538072,-0.03967406
1.70494482,0.07934812,-0.07934812
1.71518482,0.07141331,-0.03967406
1.72542482,0.07141331,-0.07934812
1.73566482,0.0674459,-0.07934812
1.74590482,0.0595111,0.00000000
1.75614482,0.0595111,-0.07934812
1.76638482,0.0595111,0.00000000
1.77662482,0.05554369,0.00000000
1.78686482,0.0634785,-0.07934812
1.79710482,0.0674459,-0.03967406
1.80734482,0.07141331,0.00000000
1.81758482,0.0674459,0.00000000
1.82782482,0.0634785,-0.03967406
1.83806482,0.0634785,-0.03967406
1.84830482,0.0634785,-0.07934812
1.85854482,0.07141331,-0.03967406
1.86878482,0.07538072,0.00000000
1.87902482,0.07538072,-0.07934812
1.88926482,0.0674459,0.00000000
1.89950482,0.0634785,-0.03967406
1.90974482,0.05554369,0.00000000
1.91998482,0.05554369,0.00000000
1.93022482,0.0634785,-0.03967406
1.94046482,0.0634785,0.00000000
1.95070482,0.0674459,0.00000000
1.96094482,0.0674459,-0.07934812
1.97118482,0.0634785,-0.07934812
1.98142482,0.0674459,-0.03967406
1.99166482,0.0674459,-0.03967406
2.00190482,0.0634785,-0.03967406
2.01214482,0.0595111,-0.03967406
2.02238482,0.05554369,-0.07934812
2.03262482,0.05157628,-0.07934812
2.04286482,0.05157628,-0.03967406
2.05310482,0.04760887,-0.03967406
2.06334482,0.04760887,-0.03967406
2.07358482,0.04760887,0.00000000
2.08382482,0.04760887,0.00000000
2.09406482,0.05157628,-0.03967406
2.10430482,0.05157628,-0.07934812
2.11454482,0.05157628,-0.03967406
2.12478482,0.05157628,0.00000000
2.13502482,0.05554369,0.00000000
2.14526482,0.05157628,-0.03967406
2.15550482,0.05157628,-0.07934812
2.16574482,0.05157628,0.00000000
2.17598482,0.05157628,-0.03967406
2.18622482,0.05157628,-0.07934812
2.19646482,0.04760887,-0.03967406
2.20670482,0.04364147,-0.03967406
2.21694482,0.03967406,-0.07934812
2.22718482,0.03570665,-0.03967406
2.23742482,0.03967406,-0.07934812
2.24766482,0.04364147,-0.03967406
2.25790482,0.04364147,-0.03967406
2.26814482,0.04364147,-0.03967406
2.27838482,0.04760887,0.00000000
2.28862482,0.04760887,0.00000000
2.29886482,0.04364147,-0.03967406
2.30910482,0.04760887,0.00000000
2.31934482,0.04364147,0.00000000
2.32958482,0.04760887,0.00000000
2.33982481,0.05157628,-0.03967406
2.35006481,0.04760887,0.00000000
2.36030481,0.03173925,0.03967406
2.37054481,0.01983703,-0.03967406
2.38078481,0.01983703,0.00000000
2.39102481,0.01983703,-0.03967406
2.40126481,0.03173925,-0.07934812
2.41150481,0.03173925,0.00000000
2.42174481,0.03173925,0.00000000
2.43198481,0.03173925,0.00000000
2.44222481,0.02777184,0.00000000
2.45246481,0.02777184,0.03967406
2.46270481,0.01983703,0.03967406
2.47294481,0.01983703,0.00000000
2.48318481,0.02777184,0.00000000
2.49342481,0.03173925,0.00000000
2.50366481,0.02777184,0.00000000
2.51390481,0.02777184,0.00000000
2.52414481,0.02380444,0.00000000
2.53438481,0.01586962,0.00000000
2.54462481,0.01983703,0.00000000
2.55486481,0.01983703,0.00000000
2.56510481,0.02380444,0.00000000
2.57534481,0.01983703,0.00000000
2.58558481,0.01190222,0.00000000
2.59582481,0.00793481,-0.03967406
2.60606481,-0.00396741,0.03967406
2.61630481,0.0,0.03967406
2.62654481,0.00396741,0.00000000
2.63678481,0.00793481,0.03967406
2.64702481,0.00793481,0.00000000
2.65726481,0.01190222,0.00000000
2.66750481,0.01586962,0.00000000
2.67774481,0.01586962,0.00000000
2.68798481,0.01586962,0.00000000
2.69822481,0.01586962,0.03967406
2.70846481,0.01190222,-0.07934812
2.71870481,0.01190222,0.00000000
2.72894481,0.01190222,0.03967406
2.73918481,0.00793481,-0.03967406
2.74942481,0.01190222,0.03967406
2.75966481,0.01190222,0.03967406
2.76990481,0.01983703,0.03967406
2.78014481,0.01983703,0.00000000
2.79038481,0.02380444,0.00000000
2.80062481,0.02380444,0.00000000
2.81086481,0.01586962,0.03967406
2.82110481,0.01983703,0.00000000
2.83134481,0.01190222,0.00000000
2.84158481,0.00793481,0.03967406
2.85182481,0.01586962,0.03967406
2.86206481,0.01586962,0.03967406
2.87230481,0.02380444,0.00000000
2.88254481,0.02380444,0.03967406
2.89278481,0.02380444,-0.03967406
2.90302481,0.02380444,0.03967406
2.91326481,0.01983703,0.00000000
2.92350481,0.02380444,0.03967406
2.93374481,0.01983703,0.00000000
2.94398481,0.01586962,0.03967406
2.95422481,0.01586962,0.00000000
2.96446481,0.01586962,0.03967406
2.97470481,0.01586962,0.00000000
2.98494481,0.01190222,0.00000000
2.99518481,0.00793481,0.03967406
3.00542481,-0.00793481,0.00000000
3.01566481,-0.01190222,3.69045100
3.02590481,-0.00396741,0.91265600
3.03614481,0.00396741,0.55543680
3.04638481,0.01586962,0.43641470
3.05662481,0.01586962,0.39674060
3.06686481,0.01586962,0.23804440
3.07710481,0.00793481,0.31739250
3.08734481,0.01190222,0.27771840
3.09758481,0.01190222,0.31739250
3.10782481,0.00793481,0.23804440
3.11806481,0.01190222,0.23804440
3.12830481,0.00793481,0.31739250
3.13854481,0.00793481,0.23804440
3.14878481,0.01983703,0.23804440
3.15902481,0.01586962,0.19837030
3.16926481,0.01190222,0.15869620
3.17950481,0.01190222,0.15869620
3.18974481,0.00793481,0.19837030
3.19998481,0.01190222,0.15869620
