Time,Channel A,Channel B
0.00255241,-0.01190222,-0.03967406
0.00767241,-0.01586962,-2.38090200
0.01279241,-0.01983703,2.42057600
0.01791241,-0.00396741,-0.43641470
0.02303241,0.02380444,0.63478500
0.02815241,0.07538072,0.19837030
0.03327241,0.146794,-0.39674060
0.03839241,0.2182073,-0.63478500
0.04351241,0.2896207,-0.87298200
0.04863241,0.3530992,-0.87298200
0.05375241,0.4126713,-0.91265600
0.05887241,0.4563127,-1.07135200
0.06399241,0.4959868,-1.03167800
0.06911241,0.5396283,-1.07135200
0.07423241,0.5713676,-1.07135200
0.07935241,0.6110416,-1.11102600
0.08447241,0.6388745,-1.11102600
0.08959241,0.6587115,-1.07135200
0.09471241,0.6785485,-1.11102600
0.09983241,0.6904508,-1.11102600
0.10495241,0.7063204,-1.07135200
0.11007241,0.7182226,-1.07135200
0.11519241,0.7261574,-1.11102600
0.12031241,0.7301248,-1.11102600
0.12543241,0.7340922,-1.11102600
0.13055241,0.7380596,-1.11102600
0.13567241,0.742027,-1.11102600
0.14079241,0.7459944,-1.11102600
0.14591241,0.7499619,-1.11102600
0.15103241,0.7539293,-1.11102600
0.15615241,0.7539293,-1.11102600
0.16127241,0.7578967,-1.11102600
0.16639241,0.7618641,-1.15070000
0.17151241,0.7618641,-1.19037400
0.17663241,0.7737663,-1.15070000
0.18175241,0.7737663,-1.11102600
0.18687241,0.7697989,-1.15070000
0.19199241,0.7658315,-1.11102600
0.19711241,0.7539293,-1.11102600
0.20223241,0.7539293,-1.11102600
0.20735241,0.7499619,-1.15070000
0.21247241,0.7459944,-1.15070000
0.21759241,0.7459944,-1.11102600
0.22271241,0.742027,-1.11102600
0.22783241,0.7459944,-1.11102600
0.23295241,0.7499619,-1.11102600
0.23807241,0.7499619,-1.11102600
0.24319241,0.7539293,-1.07135200
0.24831241,0.7499619,-1.15070000
0.25343241,0.7459944,-1.15070000
0.25855241,0.7459944,-1.11102600
0.26367241,0.7380596,-1.11102600
0.26879241,0.7340922,-1.11102600
0.27391241,0.7340922,-1.11102600
0.27903241,0.7261574,-1.07135200
0.28415241,0.72219,-1.11102600
0.28927241,0.7182226,-1.11102600
0.29439241,0.7142552,-1.07135200
0.29951241,0.7142552,-1.11102600
0.30463241,0.7182226,-1.07135200
0.30975241,0.7182226,-1.11102600
0.31487241,0.7102878,-1.07135200
0.31999241,0.7102878,-1.07135200
0.32511241,0.7063204,-1.11102600
0.33023241,0.7063204,-1.07135200
0.33535241,0.7063204,-1.03167800
0.34047241,0.6983856,-1.07135200
0.34559241,0.6944182,-1.11102600
0.35071241,0.6864833,-1.07135200
0.35583241,0.6864833,-1.03167800
0.36095241,0.6864833,-1.03167800
0.36607241,0.6825159,-1.03167800
0.37119241,0.6825159,-1.03167800
0.37631241,0.6745811,-1.07135200
0.38143241,0.6706137,-1.03167800
0.38655241,0.6626789,-0.95233010
0.39167241,0.6547441,-0.99200420
0.39679241,0.6547441,-0.95233010
0.40191241,0.6507767,-0.99200420
0.40703241,0.6547441,-1.03167800
0.41215241,0.6547441,-0.95233010
0.41727241,0.6547441,-1.03167800
0.42239241,0.6507767,-0.95233010
0.42751241,0.6428419,-0.95233010
0.43263241,0.6388745,-0.95233010
0.43775241,0.6349071,-0.99200420
0.44287241,0.6309397,-0.91265600
0.44799241,0.6349071,-0.95233010
0.45311241,0.6349071,-0.91265600
0.45823241,0.6269723,-0.91265600
0.46335241,0.6309397,-0.87298200
0.46847241,0.6230049,-0.91265600
0.47359241,0.6190374,-0.91265600
0.47871241,0.6230049,-0.87298200
0.48383241,0.6111026,-0.87298200
0.48895241,0.6071352,-0.87298200
0.49407241,0.595233,-0.87298200
0.49919241,0.5833308,-0.87298200
0.50431241,0.5833308,-0.87298200
0.50943241,0.5713676,-0.87298200
0.51455241,0.5713676,-0.87298200
0.51967241,0.5674001,-0.87298200
0.52479241,0.5554979,-0.87298200
0.52991241,0.5554979,-0.87298200
0.53503241,0.5554979,-0.79363380
0.54015241,0.5554979,-0.83330790
0.54527241,0.5594653,-0.83330790
0.55039241,0.5554979,-0.79363380
0.55551241,0.5515305,-0.83330790
0.56063241,0.5435957,-0.79363380
0.56575241,0.5396283,-0.79363380
0.57087241,0.5356609,-0.79363380
0.57599241,0.5277261,-0.79363380
0.58111241,0.5316935,-0.75395980
0.58623241,0.5316935,-0.71428570
0.59135241,0.5316935,-0.75395980
0.59647241,0.5277261,-0.75395980
0.60159241,0.5237586,-0.71428570
0.60671241,0.5158238,-0.75395980
0.61183241,0.5118564,-0.71428570
0.61695241,0.507889,-0.67445900
0.62207241,0.5039216,-0.67445900
0.62719241,0.5039216,-0.71428570
0.63231241,0.4999542,-0.71428570
0.63743241,0.4959868,-0.67445900
0.64255241,0.4920194,-0.63478500
0.64767241,0.4840846,-0.63478500
0.65279241,0.4761498,-0.71428570
0.65791241,0.4721824,-0.63478500
0.66303241,0.468215,-0.63478500
0.66815241,0.4721824,-0.63478500
0.67327241,0.4721824,-0.63478500
0.67839241,0.468215,-0.59511100
0.68351241,0.468215,-0.55543680
0.68863241,0.4563127,-0.59511100
0.69375241,0.4483779,-0.59511100
0.69887241,0.4444105,-0.55543680
0.70399241,0.4404431,-0.55543680
0.70911241,0.4404431,-0.55543680
0.71423241,0.4404431,-0.55543680
0.71935241,0.4444105,-0.55543680
0.72447241,0.4364757,-0.55543680
0.72959241,0.4325083,-0.51576280
0.73471241,0.4325083,-0.51576280
0.73983241,0.4245735,-0.51576280
0.74495241,0.4245735,-0.55543680
0.75007241,0.4206061,-0.47608880
0.75519241,0.4166387,-0.51576280
0.76031241,0.4126713,-0.47608880
0.76543241,0.4047365,-0.43641470
0.77055241,0.4007691,-0.47608880
0.77567241,0.3888668,-0.47608880
0.78079241,0.3848994,-0.43641470
0.78591241,0.3769646,-0.47608880
0.79103241,0.3690298,-0.43641470
0.79615241,0.3769646,-0.47608880
0.80127241,0.3729972,-0.39674060
0.80639241,0.3729972,-0.39674060
0.81151241,0.3769646,-0.43641470
0.81663241,0.3690298,-0.43641470
0.82175241,0.3690298,-0.39674060
0.82687241,0.361095,-0.39674060
0.83199241,0.3531602,-0.43641470
0.83711241,0.3491928,-0.39674060
0.84223241,0.3452254,-0.39674060
0.84735241,0.3491928,-0.39674060
0.85247241,0.3491928,-0.35706660
0.85759241,0.3491928,-0.39674060
0.86271241,0.3452254,-0.39674060
0.86783241,0.341258,-0.27771840
0.87295241,0.341258,-0.31739250
0.87807241,0.3333232,-0.31739250
0.88319241,0.3333232,-0.31739250
0.88831241,0.3214209,-0.31739250
0.89343241,0.3134861,-0.31739250
0.89855241,0.3095187,-0.27771840
0.90367241,0.3055513,-0.27771840
0.90879241,0.3134861,-0.31739250
0.91391241,0.3134861,-0.27771840
0.91903241,0.3174535,-0.27771840
0.92415241,0.3134861,-0.31739250
0.92927241,0.3095187,-0.27771840
0.93439241,0.3015839,-0.27771840
0.93951241,0.2936491,-0.27771840
0.94463241,0.2896817,-0.27771840
0.94975241,0.2816858,-0.23804440
0.95487241,0.2816858,-0.27771840
0.95999241,0.2816858,-0.27771840
0.96511241,0.2777184,-0.27771840
0.97023241,0.2777184,-0.23804440
0.97535241,0.273751,-0.23804440
0.98047241,0.2697836,-0.23804440
0.98559241,0.273751,-0.27771840
0.99071241,0.2697836,-0.23804440
0.99583241,0.2697836,-0.23804440
1.00095241,0.2618488,-0.23804440
1.00607241,0.253914,-0.23804440
1.01119241,0.253914,-0.19837030
1.01631241,0.2499466,-0.15869620
1.02143241,0.2578814,-0.23804440
1.02655241,0.253914,-0.19837030
1.03167241,0.2499466,-0.15869620
1.03679241,0.2499466,-0.15869620
1.04191241,0.2420118,-0.15869620
1.04703241,0.2420118,-0.19837030
1.05215241,0.2380444,-0.11902220
1.05727241,0.2261422,-0.15869620
1.06239241,0.2261422,-0.15869620
1.06751241,0.2261422,-0.11902220
1.07263241,0.2301096,-0.11902220
1.07775241,0.2380444,-0.15869620
1.08287241,0.2380444,-0.15869620
1.08799241,0.2380444,-0.11902220
1.09311241,0.2301096,-0.11902220
1.09823241,0.2221747,-0.11902220
1.10335241,0.2182073,-0.11902220
1.10847241,0.2142399,-0.11902220
1.11359241,0.2182073,-0.11902220
1.11871241,0.2221747,-0.11902220
1.12383241,0.2261422,-0.11902220
1.12895241,0.2221747,-0.11902220
1.13407241,0.2182073,-0.11902220
1.13919241,0.2142399,-0.11902220
1.14431241,0.2102725,-0.07934812
1.14943241,0.2102725,-0.07934812
1.15455241,0.2102725,-0.07934812
1.15967241,0.2063051,-0.11902220
1.16479241,0.2023377,-0.07934812
1.16991241,0.1983703,-0.07934812
1.17503241,0.1944029,-0.07934812
1.18015241,0.1904355,-0.07934812
1.18527241,0.1864681,-0.07934812
1.19039241,0.1864681,-0.07934812
1.19551241,0.1904355,-0.07934812
1.20063241,0.1983703,-0.07934812
1.20575241,0.1983703,-0.07934812
1.21087241,0.1944029,-0.07934812
1.21599241,0.1864681,-0.07934812
1.22111241,0.1785333,-0.03967406
1.22623241,0.1825007,-0.07934812
1.23135241,0.1825007,-0.07934812
1.23647241,0.1825007,-0.07934812
1.24159241,0.1864681,-0.03967406
1.24671241,0.1785333,-0.07934812
1.25183241,0.1825007,-0.03967406
1.25695241,0.1825007,-0.03967406
1.26207241,0.1785333,0.00000000
1.26719241,0.1785333,-0.03967406
1.27231241,0.1745659,0.00000000
1.27743241,0.1705985,-0.03967406
1.28255241,0.1626637,0.00000000
1.28767241,0.1626637,-0.07934812
1.29279241,0.1626637,0.00000000
1.29791241,0.1666311,-0.03967406
1.30303241,0.1745659,-0.03967406
1.30815241,0.1745659,0.00000000
1.31327241,0.1745659,-0.07934812
1.31839241,0.1705985,0.03967406
1.32351241,0.1705985,0.00000000
1.32863241,0.1666311,-0.03967406
1.33375241,0.1626637,0.00000000
1.33887241,0.1666311,0.00000000
1.34399241,0.1666311,0.00000000
1.34911241,0.1626637,0.00000000
1.35423241,0.1666311,0.00000000
1.35935241,0.1586962,0.00000000
1.36447241,0.1586962,0.00000000
1.36959241,0.1586962,0.03967406
1.37471241,0.1586962,0.00000000
1.37983241,0.1666311,-0.03967406
1.38495241,0.1626637,0.00000000
1.39007241,0.1705985,0.00000000
1.39519241,0.1666311,0.00000000
1.40031241,0.1666311,0.00000000
1.40543241,0.1666311,0.03967406
1.41055241,0.1586962,0.03967406
1.41567241,0.1586962,0.00000000
1.42079241,0.1507614,0.00000000
1.42591241,0.1507614,0.00000000
1.43103241,0.1547288,0.03967406
1.43615241,0.1547288,0.03967406
1.44127241,0.1586962,0.03967406
1.44639241,0.1507614,0.00000000
1.45151241,0.146794,0.00000000
1.45663241,0.1428266,0.03967406
1.46175241,0.1428266,-0.03967406
1.46687241,0.146794,0.03967406
1.47199241,0.1428266,0.03967406
1.47711241,0.1428266,0.07934812
1.48223241,0.1428266,0.00000000
1.48735241,0.1428266,0.00000000
1.49247241,0.1507614,0.00000000
1.49759241,0.1547288,0.03967406
1.50271241,0.1507614,0.00000000
1.50783241,0.1547288,0.03967406
1.51295241,0.1507614,0.03967406
1.51807241,0.146794,0.00000000
1.52319241,0.146794,0.03967406
1.52831241,0.1388592,0.03967406
1.53343241,0.1388592,0.03967406
1.53855241,0.1388592,0.00000000
1.54367241,0.1348918,0.00000000
1.54879241,0.1388592,0.03967406
1.55391241,0.1348918,0.03967406
1.55903241,0.1388592,0.03967406
1.56415241,0.1428266,0.03967406
1.56927241,0.1388592,0.03967406
1.57439241,0.146794,0.03967406
1.5795124,0.1388592,0.00000000
1.5846324,0.1388592,0.03967406
1.5897524,0.1388592,0.03967406
1.5948724,0.1348918,0.03967406
1.5999924,0.1388592,0.03967406
1.6051124,0.1428266,0.03967406
1.6102324,0.146794,0.03967406
1.6153524,0.1507614,0.03967406
1.6204724,0.1547288,0.07934812
1.6255924,0.1547288,0.00000000
1.6307124,0.1507614,0.00000000
1.6358324,0.1428266,0.03967406
1.6409524,0.1388592,0.03967406
1.6460724,0.1309244,0.03967406
1.6511924,0.1348918,0.03967406
1.6563124,0.1388592,0.03967406
1.6614324,0.1388592,0.07934812
1.6665524,0.1428266,0.03967406
1.6716724,0.1388592,0.03967406
1.6767924,0.1348918,0.03967406
1.6819124,0.1309244,0.03967406
1.6870324,0.126957,0.03967406
1.6921524,0.126957,0.00000000
1.6972724,0.126957,0.07934812
1.7023924,0.1309244,0.03967406
1.7075124,0.1348918,0.03967406
1.7126324,0.1348918,0.07934812
1.7177524,0.1348918,0.07934812
1.7228724,0.1309244,0.11902220
1.7279924,0.126957,0.03967406
1.7331124,0.1229896,0.07934812
1.7382324,0.1348918,0.03967406
1.7433524,0.1348918,0.07934812
1.7484724,0.1348918,0.07934812
1.7535924,0.1388592,0.07934812
1.7587124,0.1309244,0.03967406
1.7638324,0.1309244,0.03967406
1.7689524,0.1309244,0.03967406
1.7740724,0.1348918,0.03967406
1.7791924,0.1309244,0.07934812
1.7843124,0.1309244,0.00000000
1.7894324,0.126957,0.03967406
1.7945524,0.1229896,0.07934812
1.7996724,0.1229896,0.07934812
1.8047924,0.1229896,0.03967406
1.8099124,0.1309244,0.03967406
1.8150324,0.1348918,0.07934812
1.8201524,0.1428266,0.07934812
1.8252724,0.1388592,0.07934812
1.8303924,0.1348918,0.00000000
1.8355124,0.126957,0.07934812
1.8406324,0.1190222,0.03967406
1.8457524,0.1229896,0.03967406
1.8508724,0.1229896,0.07934812
1.8559924,0.126957,0.07934812
1.8611124,0.126957,0.03967406
1.8662324,0.1229896,0.07934812
1.8713524,0.126957,0.07934812
1.8764724,0.1309244,0.07934812
1.8815924,0.1309244,0.07934812
1.8867124,0.1348918,0.07934812
1.8918324,0.1309244,0.03967406
1.8969524,0.1229896,0.07934812
1.9020724,0.1229896,0.07934812
1.9071924,0.1309244,0.07934812
1.9123124,0.1309244,0.07934812
1.9174324,0.1309244,0.03967406
1.9225524,0.1309244,0.07934812
1.9276724,0.1229896,0.03967406
1.9327924,0.1190222,0.07934812
1.9379124,0.1229896,0.07934812
1.9430324,0.1229896,0.03967406
1.9481524,0.1190222,0.07934812
1.9532724,0.1190222,0.07934812
1.9583924,0.1150548,0.07934812
1.9635124,0.1150548,0.07934812
1.9686324,0.1190222,0.07934812
1.9737524,0.126957,0.03967406
1.9788724,0.126957,0.03967406
1.9839924,0.126957,0.15869620
1.9891124,0.126957,0.07934812
1.9942324,0.1190222,0.07934812
1.9993524,0.1190222,0.03967406
2.0044724,0.1190222,0.07934812
2.0095924,0.1190222,0.00000000
2.0147124,0.1229896,0.07934812
2.0198324,0.1229896,0.03967406
2.0249524,0.1190222,0.07934812
2.0300724,0.1150548,0.03967406
2.0351924,0.1110874,0.00000000
2.0403124,0.1110874,0.07934812
2.0454324,0.1150548,0.07934812
2.0505524,0.1110874,0.03967406
2.0556724,0.1110874,0.03967406
2.0607924,0.1110874,0.11902220
2.0659124,0.10712,0.07934812
2.0710324,0.1150548,0.07934812
2.0761524,0.1150548,0.07934812
2.0812724,0.1150548,0.07934812
2.0863924,0.1150548,0.07934812
2.0915124,0.1190222,0.11902220
2.0966324,0.1229896,0.11902220
2.1017524,0.1229896,0.07934812
2.1068724,0.1229896,0.07934812
2.1119924,0.1150548,0.07934812
2.1171124,0.10712,0.07934812
2.1222324,0.1031526,0.07934812
2.1273524,0.1031526,0.07934812
2.1324724,0.09918515,0.07934812
2.1375924,0.1031526,0.07934812
2.1427124,0.1110874,0.07934812
2.1478324,0.1110874,0.07934812
2.1529524,0.1110874,0.07934812
2.1580724,0.1110874,0.07934812
2.1631924,0.10712,0.11902220
2.1683124,0.10712,0.11902220
