Time,Channel A,Channel B
0.00255234,0.03173925,-0.786462
0.00767234,0.0,-0.826899
0.01279234,0.0,-0.8677938
0.01791234,-0.01586962,-0.9091464
0.02303234,0.07934812,-0.9506516
0.02815234,0.2063051,-0.9921567
0.03327234,0.3333232,-1.033967
0.03839234,0.4444105,-1.075472
0.04351234,0.6031678,-1.116977
0.04863234,0.6825159,-1.15833
0.05375234,0.7777337,-1.199072
0.05887234,0.8571429,-1.239509
0.06399234,0.9206213,-1.279489
0.06911234,0.9999695,-1.318552
0.07423234,1.063448,-1.357005
0.07935234,1.079318,-1.394543
0.08447234,1.126926,-1.431165
0.08959234,1.142857,-1.46672
0.09471234,1.174596,-1.501205
0.09983234,1.190466,-1.534623
0.10495234,1.206336,-1.566668
0.11007234,1.222205,-1.597491
0.11519234,1.253945,-1.626942
0.12031234,1.269814,-1.655019
0.12543234,1.269814,-1.68157
0.13055234,1.253945,-1.706748
0.13567234,1.285684,-1.730552
0.14079234,1.269814,-1.752678
0.14591234,1.301553,-1.773278
0.15103234,1.285684,-1.792505
0.15615234,1.301553,-1.810053
0.16127234,1.301553,-1.826075
0.16639234,1.285684,-1.840571
0.17151234,1.301553,-1.853542
0.17663234,1.269814,-1.865139
0.18175234,1.269814,-1.87521
0.18687234,1.269814,-1.883755
0.19199234,1.285684,-1.891079
0.19711234,1.301553,-1.897031
0.20223234,1.301553,-1.901761
0.20735234,1.269814,-1.905271
0.21247234,1.301553,-1.907559
0.21759234,1.269814,-1.90878
0.22271234,1.269814,-1.90878
0.22783234,1.269814,-1.908017
0.23295234,1.269814,-1.906339
0.23807234,1.269814,-1.903745
0.24319234,1.238075,-1.900082
0.24831234,1.253945,-1.900388
0.25343234,1.269814,-1.896725
0.25855234,1.253945,-1.891995
0.26367234,1.253945,-1.886196
0.26879234,1.253945,-1.879177
0.27391234,1.269814,-1.871548
0.27903234,1.238075,-1.863308
0.28415234,1.222205,-1.854762
0.28927234,1.222205,-1.845607
0.29439234,1.206336,-1.836451
0.29951234,1.206336,-1.826838
0.30463234,1.222205,-1.817072
0.30975234,1.190466,-1.807001
0.31487234,1.190466,-1.796625
0.31999234,1.190466,-1.786096
0.32511234,1.174596,-1.775262
0.33023234,1.174596,-1.764275
0.33535234,1.190466,-1.753136
0.34047234,1.190466,-1.741691
0.34559234,1.174596,-1.729942
0.35071234,1.142857,-1.718192
0.35583234,1.158727,-1.70629
0.36095234,1.142857,-1.694082
0.36607234,1.158727,-1.681723
0.37119234,1.142857,-1.66921
0.37631234,1.142857,-1.656545
0.38143234,1.126926,-1.643727
0.38655234,1.111057,-1.630756
0.39167234,1.126926,-1.617634
0.39679234,1.111057,-1.604358
0.40191234,1.111057,-1.59093
0.40703234,1.079318,-1.577349
0.41215234,1.063448,-1.563768
0.41727234,1.095187,-1.550035
0.42239234,1.079318,-1.536149
0.42751234,1.063448,-1.522111
0.43263234,1.063448,-1.508225
0.43775234,1.063448,-1.494034
0.44287234,1.047578,-1.479843
0.44799234,1.063448,-1.465651
0.45311234,0.9999695,-1.451308
0.45823234,1.015839,-1.436811
0.46335234,1.015839,-1.422315
0.46847234,1.015839,-1.407819
0.47359234,0.9999695,-1.393323
0.47871234,0.9999695,-1.378674
0.48383234,1.015839,-1.364025
0.48895234,0.9999695,-1.349223
0.49407234,0.9999695,-1.334574
0.49919234,0.9682302,-1.319926
0.50431234,0.936491,-1.305124
0.50943234,0.9682302,-1.290323
0.51455234,0.936491,-1.275521
0.51967234,0.936491,-1.26072
0.52479234,0.936491,-1.245918
0.52991234,0.936491,-1.231269
0.53503234,0.9206213,-1.216468
0.54015234,0.9047517,-1.201666
0.54527234,0.9206213,-1.186865
0.55039234,0.8888821,-1.172216
0.55551234,0.8888821,-1.157567
0.56063234,0.8730125,-1.142766
0.56575234,0.8730125,-1.128117
0.57087234,0.8571429,-1.113468
0.57599234,0.8730125,-1.098971
0.58111234,0.8730125,-1.084475
0.58623234,0.8571429,-1.069826
0.59135234,0.8571429,-1.055483
0.59647234,0.8412122,-1.040986
0.60159234,0.8253426,-1.026643
0.60671234,0.8412122,-1.012452
0.61183234,0.8253426,-0.9981079
0.61695234,0.8094729,-0.9840693
0.62207234,0.8094729,-0.9698783
0.62719234,0.7936033,-0.9558397
0.63231234,0.8094729,-0.9418012
0.63743234,0.7936033,-0.9279153
0.64255234,0.7618641,-0.9138768
0.64767234,0.7936033,-0.9001434
0.65279234,0.7459944,-0.8862575
0.65791234,0.7459944,-0.8726768
0.66303234,0.7459944,-0.8590961
0.66815234,0.7459944,-0.8456679
0.67327234,0.7459944,-0.8322397
0.67839234,0.7459944,-0.8189642
0.68351234,0.7459944,-0.8056886
0.68863234,0.6983856,-0.7925657
0.69375234,0.7301248,-0.7794427
0.69887234,0.7142552,-0.7664723
0.70399234,0.6983856,-0.753502
0.70911234,0.6983856,-0.7406842
0.71423234,0.6983856,-0.7280191
0.71935234,0.6825159,-0.7153538
0.72447234,0.6666463,-0.7029939
0.72959234,0.6825159,-0.6906339
0.73471234,0.6825159,-0.6784264
0.73983234,0.6666463,-0.6662191
0.74495234,0.6507767,-0.6541643
0.75007234,0.6349071,-0.642262
0.75519234,0.6190374,-0.6303598
0.76031234,0.6349071,-0.6187628
0.76543234,0.6190374,-0.6071658
0.77055234,0.6190374,-0.5957213
0.77567234,0.6190374,-0.5842769
0.78079234,0.6190374,-0.572985
0.78591234,0.6349071,-0.5618458
0.79103234,0.5872982,-0.5508591
0.79615234,0.6031678,-0.540025
0.80127234,0.5872982,-0.529191
0.80639234,0.5714286,-0.5186621
0.81151234,0.5714286,-0.5081332
0.81663234,0.5714286,-0.4977569
