Time,Channel A,Channel B
0.00255241,0.00793481,0.00000000
0.00767241,-0.00396741,4.80147700
0.01279241,0.00793481,-0.71428570
0.01791241,0.04760887,0.03967406
0.02303241,0.1229896,0.15869620
0.02815241,0.2420118,-0.79363380
0.03327241,0.3650014,-1.30939700
0.03839241,0.4920194,-1.58726800
0.04351241,0.6070742,-1.74596400
0.04863241,0.702292,-1.74596400
0.05375241,0.7896359,-1.82531200
0.05887241,0.8650166,-1.82531200
0.06399241,0.9324625,-1.90466000
0.06911241,0.9920347,-1.90466000
0.07423241,1.047578,-1.90466000
0.07935241,1.087252,-1.98400800
0.08447241,1.122959,-1.90466000
0.08959241,1.154698,-1.90466000
0.09471241,1.178503,-1.90466000
0.09983241,1.202368,-1.94433400
0.10495241,1.222205,-1.94433400
0.11007241,1.238075,-1.90466000
0.11519241,1.249977,-1.98400800
0.12031241,1.265847,-1.90466000
0.12543241,1.269814,-1.90466000
0.13055241,1.285684,-1.98400800
0.13567241,1.293619,-1.90466000
0.14079241,1.289651,-1.90466000
0.14591241,1.297586,-1.98400800
0.15103241,1.293619,-1.90466000
0.15615241,1.289651,-1.94433400
0.16127241,1.297586,-1.98400800
0.16639241,1.289651,-1.98400800
0.17151241,1.289651,-1.90466000
0.17663241,1.289651,-1.98400800
0.18175241,1.289651,-1.94433400
0.18687241,1.297586,-1.90466000
0.19199241,1.289651,-1.98400800
0.19711241,1.293619,-1.90466000
0.20223241,1.285684,-1.90466000
0.20735241,1.277749,-1.90466000
0.21247241,1.281716,-1.94433400
0.21759241,1.273782,-1.86498600
0.22271241,1.277749,-1.86498600
0.22783241,1.281716,-1.86498600
0.23295241,1.273782,-1.86498600
0.23807241,1.269814,-1.90466000
0.24319241,1.261879,-1.90466000
0.24831241,1.253945,-1.86498600
0.25343241,1.253945,-1.82531200
0.25855241,1.249977,-1.98400800
0.26367241,1.24601,-1.86498600
0.26879241,1.242042,-1.86498600
0.27391241,1.238075,-1.86498600
0.27903241,1.234107,-1.82531200
0.28415241,1.234107,-1.86498600
0.28927241,1.238075,-1.82531200
0.29439241,1.23014,-1.82531200
0.29951241,1.226173,-1.82531200
0.30463241,1.218238,-1.82531200
0.30975241,1.206336,-1.82531200
0.31487241,1.202368,-1.82531200
0.31999241,1.198401,-1.82531200
0.32511241,1.190466,-1.74596400
0.33023241,1.186499,-1.78563800
0.33535241,1.186499,-1.78563800
0.34047241,1.178564,-1.74596400
0.34559241,1.174596,-1.74596400
0.35071241,1.166662,-1.74596400
0.35583241,1.150731,-1.74596400
0.36095241,1.150731,-1.74596400
0.36607241,1.146764,-1.74596400
0.37119241,1.142796,-1.70629000
0.37631241,1.146825,-1.70629000
0.38143241,1.138829,-1.70629000
0.38655241,1.134861,-1.66661600
0.39167241,1.122959,-1.66661600
0.39679241,1.118992,-1.66661600
0.40191241,1.111057,-1.66661600
0.40703241,1.103122,-1.66661600
0.41215241,1.095187,-1.66661600
0.41727241,1.087252,-1.66661600
0.42239241,1.083285,-1.62694200
0.42751241,1.07535,-1.66661600
0.43263241,1.07535,-1.54759400
0.43775241,1.071383,-1.66661600
0.44287241,1.063448,-1.58726800
0.44799241,1.063448,-1.58726800
0.45311241,1.047578,-1.58726800
0.45823241,1.031709,-1.54759400
0.46335241,1.019807,-1.50792000
0.46847241,1.003937,-1.50792000
0.47359241,1.007904,-1.54759400
0.47871241,0.9960021,-1.50792000
0.48383241,0.9960021,-1.50792000
0.48895241,0.9801325,-1.42857100
0.49407241,0.9324625,-1.46824600
0.49919241,0.8650166,-1.46824600
0.50431241,0.7618641,-∞
0.50943241,0.6388134,3.73012500
0.51455241,0.5435957,3.17453500
0.51967241,0.4999542,-0.27771840
0.52479241,0.5039216,0.71428570
0.52991241,0.5554979,-0.79363380
0.53503241,0.6229438,-1.03167800
0.54015241,0.6785485,-1.03167800
0.54527241,0.7301248,-1.07135200
0.55039241,0.7697989,-1.11102600
0.55551241,0.8055055,-1.23004900
0.56063241,0.8332774,-1.26972300
0.56575241,0.8531144,-1.26972300
0.57087241,0.8769799,-1.26972300
