Time,Channel A,Channel B
0.00255234,-0.01586962,-0.7841731
0.00767234,-0.01586962,-0.8241524
0.01279234,-0.01586962,-0.8645894
0.01791234,-0.04760887,-0.9054842
0.02303234,0.04760887,-0.9465316
0.02815234,0.1586962,-0.9878842
0.03327234,0.3174535,-1.029084
0.03839234,0.4126713,-1.070437
0.04351234,0.5554979,-1.111484
0.04863234,0.6666463,-1.152379
0.05375234,0.7459944,-1.192816
0.05887234,0.8571429,-1.232795
0.06399234,0.9206213,-1.272317
0.06911234,0.9682302,-1.311075
0.07423234,1.047578,-1.349223
0.07935234,1.079318,-1.386456
0.08447234,1.111057,-1.422925
0.08959234,1.142857,-1.458327
0.09471234,1.158727,-1.492508
0.09983234,1.190466,-1.525773
0.10495234,1.206336,-1.557665
0.11007234,1.253945,-1.588488
0.11519234,1.238075,-1.617786
0.12031234,1.269814,-1.646016
0.12543234,1.269814,-1.672567
0.13055234,1.269814,-1.697897
0.13567234,1.269814,-1.721702
0.14079234,1.285684,-1.744133
0.14591234,1.301553,-1.764885
0.15103234,1.269814,-1.784265
0.15615234,1.285684,-1.802271
0.16127234,1.269814,-1.818751
0.16639234,1.285684,-1.833552
0.17151234,1.285684,-1.847133
0.17663234,1.285684,-1.859188
0.18175234,1.301553,-1.869869
0.18687234,1.301553,-1.87933
0.19199234,1.285684,-1.887265
0.19711234,1.285684,-1.894131
0.20223234,1.253945,-1.899625
0.20735234,1.253945,-1.90405
0.21247234,1.269814,-1.907254
0.21759234,1.285684,-1.909391
0.22271234,1.269814,-1.910611
0.22783234,1.269814,-1.910916
0.23295234,1.253945,-1.910306
0.23807234,1.269814,-1.909085
0.24319234,1.269814,-1.906949
0.24831234,1.269814,-1.909238
0.25343234,1.253945,-1.906034
0.25855234,1.253945,-1.902676
0.26367234,1.253945,-1.898709
0.26879234,1.253945,-1.893521
0.27391234,1.253945,-1.88757
0.27903234,1.238075,-1.881161
0.28415234,1.253945,-1.874294
0.28927234,1.238075,-1.867122
0.29439234,1.206336,-1.859798
0.29951234,1.206336,-1.852168
0.30463234,1.222205,-1.844386
0.30975234,1.206336,-1.836146
0.31487234,1.222205,-1.827906
0.31999234,1.190466,-1.819514
0.32511234,1.190466,-1.810816
0.33023234,1.174596,-1.801965
0.33535234,1.174596,-1.792962
0.34047234,1.174596,-1.783807
0.34559234,1.174596,-1.774651
0.35071234,1.190466,-1.765038
0.35583234,1.158727,-1.755425
0.36095234,1.142857,-1.745506
0.36607234,1.174596,-1.735588
0.37119234,1.126926,-1.725517
0.37631234,1.126926,-1.715293
0.38143234,1.126926,-1.704764
0.38655234,1.126926,-1.694235
0.39167234,1.095187,-1.683554
0.39679234,1.126926,-1.672872
0.40191234,1.095187,-1.661885
0.40703234,1.095187,-1.650899
0.41215234,1.095187,-1.639607
0.41727234,1.095187,-1.628315
0.42239234,1.079318,-1.617023
0.42751234,1.063448,-1.605579
0.43263234,1.063448,-1.593982
0.43775234,1.079318,-1.582385
0.44287234,1.063448,-1.570482
0.44799234,1.047578,-1.558733
0.45311234,1.047578,-1.546831
0.45823234,1.031709,-1.534623
0.46335234,0.9999695,-1.522568
0.46847234,1.015839,-1.510361
0.47359234,1.015839,-1.498154
0.47871234,0.9999695,-1.485794
0.48383234,0.9682302,-1.473586
0.48895234,0.9682302,-1.461074
0.49407234,0.9523606,-1.448561
0.49919234,0.9682302,-1.436049
0.50431234,0.9682302,-1.423536
0.50943234,0.9523606,-1.410871
0.51455234,0.9682302,-1.398206
0.51967234,0.936491,-1.38554
0.52479234,0.9206213,-1.372875
0.52991234,0.936491,-1.36021
0.53503234,0.936491,-1.347392
0.54015234,0.936491,-1.334727
0.54527234,0.9206213,-1.321909
