Time,Channel A,Channel B
(us),(V),(V)

-71.83799607,0.15869620,-0.23804440
-71.81799607,0.15869620,-0.27771840
-71.79799607,0.15869620,-0.27771840
-71.77799607,0.15869620,-0.31739250
-71.75799607,0.15869620,-0.31739250
-71.73799608,0.15869620,-0.31739250
-71.71799608,0.15869620,-0.31739250
-71.69799608,0.15869620,-0.31739250
-71.67799608,0.15869620,-0.31739250
-71.65799608,0.15869620,-0.31739250
-71.63799608,0.15869620,-0.31739250
-71.61799608,0.15869620,-0.31739250
-71.59799608,0.15869620,-0.31739250
-71.57799608,0.15869620,-0.31739250
-71.55799608,0.15869620,-0.31739250
-71.53799608,0.15869620,-0.31739250
-71.51799608,0.15869620,-0.35706660
-71.49799608,0.15869620,-0.35706660
-71.47799608,0.15869620,-0.39674060
-71.45799608,0.15869620,-0.39674060
-71.43799608,0.15869620,-0.39674060
-71.41799608,0.15869620,-0.43641470
-71.39799608,0.15869620,-0.43641470
-71.37799608,0.15869620,-0.47608880
-71.35799608,0.15869620,-0.47608880
-71.33799608,0.15869620,-0.47608880
-71.31799608,0.15869620,-0.47608880
-71.29799608,0.15869620,-0.47608880
-71.27799608,0.15869620,-0.47608880
-71.25799608,0.15869620,-0.47608880
-71.23799608,0.15869620,-0.47608880
-71.21799608,0.15869620,-0.47608880
-71.19799608,0.15869620,-0.47608880
-71.17799608,0.15869620,-0.47608880
-71.15799608,0.15869620,-0.47608880
-71.13799608,0.15869620,-0.47608880
-71.11799608,0.15869620,-0.47608880
-71.09799608,0.15869620,-0.47608880
-71.07799608,0.15869620,-0.47608880
-71.05799608,0.15869620,-0.47608880
-71.03799608,0.15869620,-0.47608880
-71.01799608,0.15869620,-0.47608880
-70.99799608,0.15869620,-0.47608880
-70.97799608,0.15869620,-0.47608880
-70.95799608,0.15869620,-0.47608880
-70.93799608,0.15869620,-0.47608880
-70.91799608,0.15869620,-0.47608880
-70.89799608,0.15869620,-0.47608880
-70.87799608,0.15869620,-0.47608880
-70.85799608,0.15869620,-0.47608880
-70.83799608,0.15869620,-0.47608880
-70.81799608,0.15869620,-0.47608880
-70.79799608,0.15869620,-0.47608880
-70.77799608,0.15869620,-0.43641470
-70.75799608,0.15869620,-0.39674060
-70.73799608,0.15869620,-0.35706660
-70.71799608,0.15869620,-0.31739250
-70.69799608,0.15869620,-0.31739250
-70.67799608,0.15869620,-0.31739250
-70.65799608,0.15869620,-0.31739250
-70.63799608,0.15869620,-0.31739250
-70.61799608,0.15869620,-0.31739250
-70.59799608,0.15869620,-0.31739250
-70.57799608,0.15869620,-0.27771840
-70.55799608,0.15869620,-0.23804440
-70.53799608,0.15869620,-0.19837030
-70.51799608,0.15869620,-0.15869620
-70.49799608,0.15869620,-0.15869620
-70.47799608,0.15869620,-0.15869620
-70.45799608,0.15869620,-0.15869620
-70.43799608,0.15869620,-0.15869620
-70.41799608,0.15869620,-0.15869620
-70.39799608,0.15869620,-0.11902220
-70.37799608,0.15869620,-0.07934812
-70.35799608,0.15869620,-0.03967406
-70.33799608,0.15869620,0.00000000
-70.31799608,0.15869620,0.00000000
-70.29799608,0.15869620,0.00000000
-70.27799608,0.15869620,0.00000000
-70.25799608,0.15869620,0.00000000
-70.23799608,0.15869620,0.00000000
-70.21799608,0.15869620,0.00000000
-70.19799608,0.15869620,0.00000000
-70.17799608,0.15869620,0.03967406
-70.15799608,0.15869620,0.07934812
-70.13799608,0.15869620,0.11902220
-70.11799608,0.15869620,0.15869620
-70.09799609,0.15869620,0.15869620
-70.07799609,0.15869620,0.15869620
-70.05799609,0.15869620,0.15869620
-70.03799609,0.15869620,0.15869620
-70.01799609,0.15869620,0.15869620
-69.99799609,0.15869620,0.15869620
-69.97799609,0.15869620,0.15869620
-69.95799609,0.15869620,0.15869620
-69.93799609,0.15869620,0.15869620
-69.91799609,0.15869620,0.15869620
-69.89799609,0.15869620,0.15869620
-69.87799609,0.15869620,0.15869620
-69.85799609,0.15869620,0.15869620
-69.83799609,0.15869620,0.15869620
-69.81799609,0.15869620,0.15869620
-69.79799609,0.15869620,0.15869620
-69.77799609,0.15869620,0.15869620
-69.75799609,0.15869620,0.15869620
-69.73799609,0.15869620,0.15869620
-69.71799609,0.15869620,0.15869620
-69.69799609,0.15869620,0.15869620
-69.67799609,0.15869620,0.15869620
-69.65799609,0.15869620,0.15869620
-69.63799609,0.15869620,0.15869620
-69.61799609,0.15869620,0.11902220
-69.59799609,0.15869620,0.07934812
-69.57799609,0.15869620,0.03967406
-69.55799609,0.15869620,0.00000000
-69.53799609,0.15869620,0.00000000
-69.51799609,0.15869620,0.00000000
-69.49799609,0.15869620,0.00000000
-69.47799609,0.15869620,0.00000000
-69.45799609,0.15869620,0.00000000
-69.43799609,0.15869620,0.00000000
-69.41799609,0.15869620,0.00000000
-69.39799609,0.15869620,0.00000000
-69.37799609,0.15869620,0.00000000
-69.35799609,0.15869620,-0.03967406
-69.33799609,0.15869620,-0.07934812
-69.31799609,0.15869620,-0.11902220
-69.29799609,0.15869620,-0.15869620
-69.27799609,0.15869620,-0.15869620
-69.25799609,0.15869620,-0.15869620
-69.23799609,0.15869620,-0.15869620
-69.21799609,0.15869620,-0.15869620
-69.19799609,0.15869620,-0.15869620
-69.17799609,0.15869620,-0.15869620
-69.15799609,0.15869620,-0.19837030
-69.13799609,0.15869620,-0.23804440
-69.11799609,0.15869620,-0.27771840
-69.09799609,0.15869620,-0.31739250
-69.07799609,0.15869620,-0.31739250
-69.05799609,0.15869620,-0.31739250
-69.03799609,0.15869620,-0.31739250
-69.01799609,0.15869620,-0.31739250
-68.99799609,0.15869620,-0.31739250
-68.97799609,0.15869620,-0.31739250
-68.95799609,0.15869620,-0.31739250
-68.93799609,0.15869620,-0.31739250
-68.91799609,0.15869620,-0.31739250
-68.89799609,0.15869620,-0.31739250
-68.87799609,0.15869620,-0.31739250
-68.85799609,0.15869620,-0.31739250
-68.83799609,0.15869620,-0.31739250
-68.81799609,0.15869620,-0.31739250
-68.79799609,0.15869620,-0.31739250
-68.77799609,0.15869620,-0.31739250
-68.75799609,0.15869620,-0.31739250
-68.73799609,0.15869620,-0.31739250
-68.71799609,0.15869620,-0.31739250
-68.69799609,0.15869620,-0.31739250
-68.67799609,0.15869620,-0.31739250
-68.65799609,0.15869620,-0.31739250
-68.63799609,0.15869620,-0.31739250
-68.61799609,0.15869620,-0.31739250
-68.59799609,0.15869620,-0.31739250
-68.57799609,0.15869620,-0.31739250
-68.55799609,0.15869620,-0.31739250
-68.53799609,0.15869620,-0.31739250
-68.51799609,0.15869620,-0.31739250
-68.49799609,0.15869620,-0.31739250
-68.47799609,0.15869620,-0.31739250
-68.45799610,0.15869620,-0.31739250
-68.43799610,0.15869620,-0.31739250
-68.41799610,0.15869620,-0.31739250
-68.39799610,0.15869620,-0.31739250
-68.37799610,0.15869620,-0.31739250
-68.35799610,0.15869620,-0.31739250
-68.33799610,0.15869620,-0.31739250
-68.31799610,0.15869620,-0.31739250
-68.29799610,0.15869620,-0.31739250
-68.27799610,0.15869620,-0.31739250
-68.25799610,0.15869620,-0.27771840
-68.23799610,0.15869620,-0.23804440
-68.21799610,0.15869620,-0.19837030
-68.19799610,0.15869620,-0.15869620
-68.17799610,0.15869620,-0.15869620
-68.15799610,0.15869620,-0.15869620
-68.13799610,0.15869620,-0.15869620
-68.11799610,0.15869620,-0.15869620
-68.09799610,0.15869620,-0.15869620
-68.07799610,0.15869620,-0.15869620
-68.05799610,0.15869620,-0.15869620
-68.03799610,0.15869620,-0.15869620
-68.01799610,0.15869620,-0.15869620
-67.99799610,0.15869620,-0.15869620
-67.97799610,0.15869620,-0.15869620
-67.95799610,0.15869620,-0.15869620
-67.93799610,0.15869620,-0.15869620
-67.91799610,0.15869620,-0.15869620
-67.89799610,0.15869620,-0.15869620
-67.87799610,0.15869620,-0.15869620
-67.85799610,0.15869620,-0.15869620
-67.83799610,0.15869620,-0.15869620
-67.81799610,0.15869620,-0.15869620
-67.79799610,0.15869620,-0.15869620
-67.77799610,0.15869620,-0.15869620
-67.75799610,0.15869620,-0.15869620
-67.73799610,0.15869620,-0.15869620
-67.71799610,0.15869620,-0.15869620
-67.69799610,0.15869620,-0.15869620
-67.67799610,0.15869620,-0.15869620
-67.65799610,0.15869620,-0.15869620
-67.63799610,0.15869620,-0.15869620
-67.61799610,0.15869620,-0.15869620
-67.59799610,0.15869620,-0.15869620
-67.57799610,0.15869620,-0.15869620
-67.55799610,0.15869620,-0.15869620
-67.53799610,0.15869620,-0.15869620
-67.51799610,0.15869620,-0.11902220
-67.49799610,0.15869620,-0.07934812
-67.47799610,0.15869620,-0.03967406
-67.45799610,0.15869620,0.00000000
-67.43799610,0.15869620,0.00000000
-67.41799610,0.15869620,0.00000000
-67.39799610,0.15869620,0.00000000
-67.37799610,0.15869620,0.03967406
-67.35799610,0.15869620,0.07934812
-67.33799610,0.15869620,0.11902220
-67.31799610,0.15869620,0.15869620
-67.29799610,0.15869620,0.15869620
-67.27799610,0.15869620,0.19837030
-67.25799610,0.15869620,0.23804440
-67.23799610,0.15869620,0.27771840
-67.21799610,0.15869620,0.31739250
-67.19799610,0.15869620,0.31739250
-67.17799610,0.15869620,0.31739250
-67.15799610,0.15869620,0.31739250
-67.13799610,0.15869620,0.31739250
-67.11799610,0.15869620,0.31739250
-67.09799610,0.15869620,0.31739250
-67.07799610,0.15869620,0.31739250
-67.05799610,0.15869620,0.31739250
-67.03799610,0.15869620,0.31739250
-67.01799610,0.15869620,0.31739250
-66.99799610,0.15869620,0.31739250
-66.97799610,0.15869620,0.31739250
-66.95799610,0.15869620,0.31739250
-66.93799610,0.15869620,0.31739250
-66.91799610,0.15869620,0.31739250
-66.89799610,0.15869620,0.31739250
-66.87799610,0.15869620,0.31739250
-66.85799610,0.15869620,0.31739250
-66.83799610,0.15869620,0.27771840
-66.81799610,0.15869620,0.23804440
-66.79799611,0.15869620,0.19837030
-66.77799611,0.15869620,0.15869620
-66.75799611,0.15869620,0.15869620
-66.73799611,0.15869620,0.15869620
-66.71799611,0.15869620,0.11902220
-66.69799611,0.15869620,0.07934812
-66.67799611,0.15869620,0.03967406
-66.65799611,0.15869620,0.00000000
-66.63799611,0.15869620,0.00000000
-66.61799611,0.15869620,-0.03967406
-66.59799611,0.15869620,-0.07934812
-66.57799611,0.15869620,-0.11902220
-66.55799611,0.15869620,-0.15869620
-66.53799611,0.15869620,-0.15869620
-66.51799611,0.15869620,-0.19837030
-66.49799611,0.15869620,-0.23804440
-66.47799611,0.15869620,-0.27771840
-66.45799611,0.15869620,-0.31739250
-66.43799611,0.15869620,-0.31739250
-66.41799611,0.15869620,-0.35706660
-66.39799611,0.15869620,-0.39674060
-66.37799611,0.15869620,-0.43641470
-66.35799611,0.15869620,-0.47608880
-66.33799611,0.15869620,-0.47608880
-66.31799611,0.15869620,-0.47608880
-66.29799611,0.15869620,-0.47608880
-66.27799611,0.15869620,-0.47608880
-66.25799611,0.15869620,-0.47608880
-66.23799611,0.15869620,-0.51576280
-66.21799611,0.15869620,-0.55543680
