Time,Channel A,Channel B
(us),(V),(V)

-71.83799607,0.47608880,0.75380720
-71.81799607,0.47608880,0.79348120
-71.79799607,0.47608880,0.79348120
-71.77799607,0.47608880,0.79348120
-71.75799607,0.47608880,0.79348120
-71.73799608,0.63478500,0.79348120
-71.71799608,0.63478500,0.79348120
-71.69799608,0.47608880,0.79348120
-71.67799608,0.47608880,0.79348120
-71.65799608,0.47608880,0.79348120
-71.63799608,0.63478500,0.79348120
-71.61799608,0.47608880,0.79348120
-71.59799608,0.63478500,0.79348120
-71.57799608,0.63478500,0.79348120
-71.55799608,0.63478500,0.79348120
-71.53799608,0.47608880,0.79348120
-71.51799608,0.47608880,0.75380720
-71.49799608,0.47608880,0.71413310
-71.47799608,0.47608880,0.67445900
-71.45799608,0.47608880,0.63478500
-71.43799608,0.63478500,0.63478500
-71.41799608,0.47608880,0.59511100
-71.39799608,0.63478500,0.55543680
-71.37799608,0.47608880,0.51576280
-71.35799608,0.47608880,0.47608880
-71.33799608,0.47608880,0.47608880
-71.31799608,0.63478500,0.43641470
-71.29799608,0.47608880,0.39674060
-71.27799608,0.47608880,0.35706660
-71.25799608,0.47608880,0.31739250
-71.23799608,0.63478500,0.31739250
-71.21799608,0.47608880,0.27771840
-71.19799608,0.63478500,0.23804440
-71.17799608,0.47608880,0.19837030
-71.15799608,0.63478500,0.15869620
-71.13799608,0.47608880,0.15869620
-71.11799608,0.63478500,0.11902220
-71.09799608,0.47608880,0.07934812
-71.07799608,0.63478500,0.03967406
-71.05799608,0.47608880,0.00000000
-71.03799608,0.47608880,0.00000000
-71.01799608,0.47608880,-0.03967406
-70.99799608,0.47608880,-0.07934812
-70.97799608,0.63478500,-0.11902220
-70.95799608,0.63478500,-0.15869620
-70.93799608,0.63478500,-0.15869620
-70.91799608,0.47608880,-0.15869620
-70.89799608,0.47608880,-0.19837030
-70.87799608,0.47608880,-0.23804440
-70.85799608,0.63478500,-0.27771840
-70.83799608,0.63478500,-0.31739250
-70.81799608,0.63478500,-0.31739250
-70.79799608,0.47608880,-0.35706660
-70.77799608,0.47608880,-0.39674060
-70.75799608,0.47608880,-0.43641470
-70.73799608,0.63478500,-0.47608880
-70.71799608,0.63478500,-0.47608880
-70.69799608,0.63478500,-0.51576280
-70.67799608,0.47608880,-0.55543680
-70.65799608,0.63478500,-0.59511100
-70.63799608,0.63478500,-0.63478500
-70.61799608,0.63478500,-0.63478500
-70.59799608,0.63478500,-0.63478500
-70.57799608,0.63478500,-0.67445900
-70.55799608,0.47608880,-0.71413310
-70.53799608,0.47608880,-0.75380720
-70.51799608,0.47608880,-0.79348120
-70.49799608,0.47608880,-0.79348120
-70.47799608,0.63478500,-0.83315530
-70.45799608,0.63478500,-0.87282940
-70.43799608,0.63478500,-0.91250340
-70.41799608,0.63478500,-0.95217750
-70.39799608,0.47608880,-0.95217750
-70.37799608,0.47608880,-0.95217750
-70.35799608,0.47608880,-0.99185160
-70.33799608,0.63478500,-1.03152600
-70.31799608,0.63478500,-1.07120000
-70.29799608,0.63478500,-1.11087400
-70.27799608,0.63478500,-1.11087400
-70.25799608,0.63478500,-1.11087400
-70.23799608,0.63478500,-1.11087400
-70.21799608,0.47608880,-1.15054800
-70.19799608,0.47608880,-1.19022200
-70.17799608,0.63478500,-1.22989600
-70.15799608,0.63478500,-1.26957000
-70.13799608,0.63478500,-1.26957000
-70.11799608,0.47608880,-1.26957000
-70.09799609,0.63478500,-1.26957000
-70.07799609,0.63478500,-1.26957000
-70.05799609,0.63478500,-1.26957000
-70.03799609,0.63478500,-1.26957000
-70.01799609,0.63478500,-1.26957000
-69.99799609,0.63478500,-1.26957000
-69.97799609,0.63478500,-1.26957000
-69.95799609,0.63478500,-1.26957000
-69.93799609,0.63478500,-1.26957000
-69.91799609,0.63478500,-1.26957000
-69.89799609,0.63478500,-1.26957000
-69.87799609,0.63478500,-1.26957000
-69.85799609,0.63478500,-1.26957000
-69.83799609,0.63478500,-1.26957000
-69.81799609,0.63478500,-1.26957000
-69.79799609,0.63478500,-1.26957000
-69.77799609,0.63478500,-1.26957000
-69.75799609,0.63478500,-1.26957000
-69.73799609,0.63478500,-1.26957000
-69.71799609,0.63478500,-1.26957000
-69.69799609,0.63478500,-1.22989600
-69.67799609,0.63478500,-1.19022200
-69.65799609,0.63478500,-1.15054800
-69.63799609,0.63478500,-1.11087400
-69.61799609,0.63478500,-1.11087400
-69.59799609,0.63478500,-1.11087400
-69.57799609,0.63478500,-1.11087400
-69.55799609,0.63478500,-1.11087400
-69.53799609,0.63478500,-1.07120000
-69.51799609,0.63478500,-1.03152600
-69.49799609,0.63478500,-0.99185160
-69.47799609,0.63478500,-0.95217750
-69.45799609,0.63478500,-0.95217750
-69.43799609,0.63478500,-0.95217750
-69.41799609,0.63478500,-0.95217750
-69.39799609,0.63478500,-0.91250340
-69.37799609,0.63478500,-0.87282940
-69.35799609,0.63478500,-0.83315530
-69.33799609,0.63478500,-0.79348120
-69.31799609,0.63478500,-0.79348120
-69.29799609,0.63478500,-0.79348120
-69.27799609,0.63478500,-0.75380720
-69.25799609,0.63478500,-0.71413310
-69.23799609,0.63478500,-0.67445900
-69.21799609,0.63478500,-0.63478500
-69.19799609,0.63478500,-0.63478500
-69.17799609,0.63478500,-0.63478500
-69.15799609,0.63478500,-0.59511100
-69.13799609,0.63478500,-0.55543680
-69.11799609,0.63478500,-0.51576280
-69.09799609,0.63478500,-0.47608880
-69.07799609,0.63478500,-0.47608880
-69.05799609,0.63478500,-0.47608880
-69.03799609,0.63478500,-0.43641470
-69.01799609,0.63478500,-0.39674060
-68.99799609,0.63478500,-0.35706660
-68.97799609,0.63478500,-0.31739250
-68.95799609,0.63478500,-0.31739250
-68.93799609,0.63478500,-0.31739250
-68.91799609,0.63478500,-0.31739250
-68.89799609,0.63478500,-0.27771840
-68.87799609,0.63478500,-0.23804440
-68.85799609,0.63478500,-0.19837030
-68.83799609,0.63478500,-0.15869620
-68.81799609,0.63478500,-0.15869620
-68.79799609,0.63478500,-0.15869620
-68.77799609,0.63478500,-0.15869620
-68.75799609,0.63478500,-0.11902220
-68.73799609,0.63478500,-0.07934812
-68.71799609,0.63478500,-0.03967406
-68.69799609,0.63478500,0.00000000
-68.67799609,0.63478500,0.00000000
-68.65799609,0.63478500,0.00000000
-68.63799609,0.63478500,0.00000000
-68.61799609,0.63478500,0.00000000
-68.59799609,0.63478500,0.00000000
-68.57799609,0.63478500,0.00000000
-68.55799609,0.63478500,0.03967406
-68.53799609,0.63478500,0.07934812
-68.51799609,0.63478500,0.11902220
-68.49799609,0.63478500,0.15869620
-68.47799609,0.63478500,0.15869620
-68.45799610,0.63478500,0.15869620
-68.43799610,0.63478500,0.15869620
-68.41799610,0.63478500,0.15869620
-68.39799610,0.63478500,0.15869620
-68.37799610,0.63478500,0.15869620
-68.35799610,0.63478500,0.15869620
-68.33799610,0.63478500,0.15869620
-68.31799610,0.63478500,0.15869620
-68.29799610,0.63478500,0.19837030
-68.27799610,0.63478500,0.23804440
-68.25799610,0.63478500,0.27771840
-68.23799610,0.63478500,0.31739250
-68.21799610,0.63478500,0.31739250
-68.19799610,0.63478500,0.31739250
-68.17799610,0.63478500,0.31739250
-68.15799610,0.63478500,0.31739250
-68.13799610,0.63478500,0.31739250
-68.11799610,0.63478500,0.31739250
-68.09799610,0.63478500,0.27771840
-68.07799610,0.63478500,0.27771840
-68.05799610,0.63478500,0.23804440
-68.03799610,0.63478500,0.19837030
-68.01799610,0.63478500,0.19837030
-67.99799610,0.63478500,0.15869620
-67.97799610,0.63478500,0.15869620
-67.95799610,0.63478500,0.15869620
-67.93799610,0.63478500,0.15869620
-67.91799610,0.63478500,0.11902220
-67.89799610,0.63478500,0.07934812
-67.87799610,0.63478500,0.03967406
-67.85799610,0.63478500,0.00000000
-67.83799610,0.63478500,0.00000000
-67.81799610,0.63478500,0.00000000
-67.79799610,0.63478500,0.00000000
-67.77799610,0.63478500,-0.03967406
-67.75799610,0.63478500,-0.07934812
-67.73799610,0.63478500,-0.11902220
-67.71799610,0.63478500,-0.15869620
-67.69799610,0.63478500,-0.15869620
-67.67799610,0.63478500,-0.15869620
-67.65799610,0.63478500,-0.19837030
-67.63799610,0.63478500,-0.23804440
-67.61799610,0.63478500,-0.27771840
-67.59799610,0.63478500,-0.31739250
-67.57799610,0.63478500,-0.31739250
-67.55799610,0.63478500,-0.35706660
-67.53799610,0.63478500,-0.39674060
-67.51799610,0.63478500,-0.43641470
-67.49799610,0.63478500,-0.47608880
-67.47799610,0.63478500,-0.47608880
-67.45799610,0.63478500,-0.47608880
-67.43799610,0.63478500,-0.47608880
-67.41799610,0.63478500,-0.47608880
-67.39799610,0.63478500,-0.47608880
-67.37799610,0.63478500,-0.51576280
-67.35799610,0.63478500,-0.55543680
-67.33799610,0.63478500,-0.59511100
-67.31799610,0.63478500,-0.63478500
-67.29799610,0.63478500,-0.63478500
-67.27799610,0.63478500,-0.63478500
-67.25799610,0.63478500,-0.63478500
-67.23799610,0.63478500,-0.63478500
-67.21799610,0.63478500,-0.63478500
-67.19799610,0.63478500,-0.63478500
-67.17799610,0.63478500,-0.63478500
-67.15799610,0.63478500,-0.63478500
-67.13799610,0.63478500,-0.63478500
-67.11799610,0.63478500,-0.63478500
-67.09799610,0.63478500,-0.63478500
-67.07799610,0.63478500,-0.63478500
-67.05799610,0.63478500,-0.63478500
-67.03799610,0.63478500,-0.63478500
-67.01799610,0.63478500,-0.63478500
-66.99799610,0.63478500,-0.63478500
-66.97799610,0.63478500,-0.63478500
-66.95799610,0.63478500,-0.59511100
-66.93799610,0.63478500,-0.59511100
-66.91799610,0.63478500,-0.55543680
-66.89799610,0.63478500,-0.51576280
-66.87799610,0.63478500,-0.51576280
-66.85799610,0.63478500,-0.47608880
-66.83799610,0.63478500,-0.47608880
-66.81799610,0.63478500,-0.47608880
-66.79799611,0.63478500,-0.47608880
-66.77799611,0.63478500,-0.47608880
-66.75799611,0.63478500,-0.47608880
-66.73799611,0.63478500,-0.47608880
-66.71799611,0.63478500,-0.47608880
-66.69799611,0.63478500,-0.47608880
-66.67799611,0.63478500,-0.47608880
-66.65799611,0.63478500,-0.47608880
-66.63799611,0.63478500,-0.43641470
-66.61799611,0.63478500,-0.39674060
-66.59799611,0.63478500,-0.35706660
-66.57799611,0.63478500,-0.31739250
-66.55799611,0.63478500,-0.31739250
-66.53799611,0.63478500,-0.31739250
-66.51799611,0.63478500,-0.31739250
-66.49799611,0.63478500,-0.31739250
-66.47799611,0.63478500,-0.31739250
-66.45799611,0.63478500,-0.31739250
-66.43799611,0.63478500,-0.27771840
-66.41799611,0.63478500,-0.23804440
-66.39799611,0.63478500,-0.19837030
-66.37799611,0.63478500,-0.15869620
-66.35799611,0.63478500,-0.15869620
-66.33799611,0.63478500,-0.15869620
-66.31799611,0.63478500,-0.15869620
-66.29799611,0.63478500,-0.15869620
-66.27799611,0.63478500,-0.11902220
-66.25799611,0.63478500,-0.07934812
-66.23799611,0.63478500,-0.03967406
-66.21799611,0.63478500,0.00000000
