Time,Channel A
0.00255301,2.380749
0.00767301,2.063356
0.01279301,1.745964
0.01791301,1.428571
0.02303301,1.587268
0.02815301,1.825312
0.03327301,1.984008
0.03839301,2.142704
0.04351301,2.301401
0.04863301,2.380749
0.05375301,2.460097
0.05887301,2.539445
0.06399301,2.618793
0.06911301,2.698141
0.07423301,2.77749
0.07935301,2.857143
0.08447301,2.857143
0.08959301,2.936491
0.09471301,2.936491
0.09983301,3.015839
0.10495301,3.015839
0.11007301,3.095187
0.11519301,3.095187
0.12031301,3.174535
0.12543301,3.174535
0.13055301,3.174535
0.13567301,3.253883
0.14079301,3.253883
0.14591301,3.253883
0.15103301,3.253883
0.15615301,3.333232
0.16127301,3.333232
0.16639301,3.333232
0.17151301,3.41258
0.17663301,3.41258
0.18175301,3.41258
0.18687301,3.491928
0.19199301,3.491928
0.19711301,3.491928
0.20223301,3.491928
0.20735301,3.571276
0.21247301,3.571276
0.21759301,3.650624
0.22271301,3.650624
0.22783301,3.650624
0.23295301,3.729972
0.23807301,3.729972
0.24319301,3.729972
0.24831301,3.729972
0.25343301,3.729972
0.25855301,3.729972
0.26367301,3.80932
0.26879301,3.80932
0.27391301,3.888669
0.27903301,3.888669
0.28415301,3.968017
0.28927301,3.968017
0.29439301,4.047365
0.29951301,4.047365
0.30463301,4.047365
0.30975301,4.126713
0.31487301,4.126713
0.31999301,4.126713
0.32511301,4.126713
0.33023301,4.206061
0.33535301,4.206061
0.34047301,4.285714
0.34559301,4.285714
0.35071301,4.285714
0.35583301,4.365062
0.36095301,4.365062
0.36607301,4.365062
0.37119301,4.365062
0.37631301,4.44441
0.38143301,4.523759
0.38655301,4.603107
0.39167301,4.523759
0.39679301,4.603107
0.40191301,4.603107
0.40703301,4.603107
0.41215301,4.682455
0.41727301,4.682455
0.42239301,4.682455
0.42751301,4.761803
0.43263301,4.761803
0.43775301,4.761803
0.44287301,4.841151
0.44799301,4.841151
0.45311301,4.841151
0.45823301,4.841151
0.46335301,4.841151
0.46847301,4.920499
0.47359301,4.999847
0.47871301,4.999847
0.48383301,4.999847
0.48895301,5.079195
0.49407301,5.079195
0.49919301,5.079195
0.50431301,5.158544
0.50943301,5.158544
0.51455301,5.158544
0.51967301,5.237892
0.52479301,5.237892
0.52991301,5.237892
0.53503301,5.31724
0.54015301,5.31724
0.54527301,5.31724
0.55039301,5.396588
0.55551301,5.396588
0.56063301,5.396588
0.56575301,5.475936
0.57087301,5.475936
0.575993,5.475936
0.581113,5.475936
0.586233,5.475936
0.591353,5.555285
0.596473,5.555285
0.601593,5.555285
0.606713,5.634633
0.611833,5.634633
0.616953,5.634633
0.622073,5.714286
0.627193,5.714286
0.632313,5.714286
0.637433,5.793634
0.642553,5.793634
0.647673,5.793634
0.652793,5.793634
0.657913,5.872982
0.663033,5.872982
0.668153,5.872982
0.673273,5.872982
0.678393,5.95233
0.683513,5.95233
0.688633,5.95233
0.693753,6.031678
0.698873,6.031678
0.703993,6.031678
0.709113,6.031678
0.714233,6.031678
0.719353,6.031678
0.724473,6.031678
0.729593,6.111026
0.734713,6.111026
0.739833,6.111026
0.744953,6.111026
0.750073,6.111026
0.755193,6.190374
0.760313,6.111026
0.765433,6.190374
0.770553,6.190374
0.775673,6.190374
0.780793,6.269722
0.785913,6.269722
0.791033,6.269722
0.796153,6.269722
0.801273,6.269722
0.806393,6.269722
0.811513,6.269722
0.816633,6.269722
0.821753,6.269722
0.826873,6.349071
0.831993,6.349071
0.837113,6.349071
0.842233,6.349071
0.847353,6.428419
0.852473,6.428419
0.857593,6.428419
0.862713,6.349071
0.867833,6.428419
0.872953,6.428419
0.878073,6.428419
0.883193,6.428419
0.888313,6.428419
0.893433,6.428419
0.898553,6.428419
0.903673,6.428419
0.908793,6.428419
0.913913,6.428419
0.919033,6.428419
0.924153,6.428419
0.929273,6.428419
0.934393,6.428419
0.939513,6.428419
0.944633,6.428419
0.949753,6.428419
0.954873,6.428419
0.959993,6.428419
0.965113,6.428419
0.970233,6.428419
0.975353,6.428419
0.980473,6.428419
0.985593,6.428419
0.990713,6.428419
0.995833,6.349071
1.000953,6.349071
1.006073,6.349071
1.011193,6.349071
1.016313,6.349071
1.021433,6.349071
1.026553,6.269722
1.031673,6.349071
1.036793,6.349071
1.041913,6.349071
1.047033,6.269722
1.052153,6.269722
1.057273,6.269722
1.062393,6.269722
1.067513,6.269722
1.072633,6.269722
1.077753,6.269722
1.082873,6.269722
1.087993,6.190374
1.093113,6.190374
1.098233,6.190374
1.103353,6.190374
1.108473,6.111026
1.113593,6.111026
1.118713,6.111026
1.123833,6.031678
1.128953,6.031678
1.134073,6.031678
1.139193,6.031678
1.144313,6.031678
1.149433,6.031678
1.154553,5.95233
1.159673,5.95233
1.164793,5.95233
1.169913,5.95233
1.175033,5.95233
1.180153,5.95233
1.185273,5.872982
1.190393,5.872982
1.195513,5.872982
1.200633,5.872982
1.205753,5.793634
1.210873,5.793634
1.215993,5.793634
1.221113,5.793634
1.226233,5.714286
1.231353,5.714286
1.236473,5.714286
1.241593,5.714286
1.246713,5.634633
1.251833,5.634633
1.256953,5.634633
1.262073,5.555285
1.267193,5.555285
1.272313,5.555285
1.277433,5.555285
1.282553,5.475936
1.287673,5.475936
1.292793,5.475936
1.297913,5.475936
1.303033,5.396588
1.308153,5.396588
1.313273,5.396588
1.318393,5.31724
1.323513,5.396588
1.328633,5.31724
1.333753,5.31724
1.338873,5.237892
1.343993,5.237892
1.349113,5.158544
1.354233,5.158544
1.359353,5.158544
1.364473,5.079195
1.369593,5.079195
1.374713,4.999847
