Time,Channel A
-0.99584797,0.1586962
-0.99072797,0.0
-0.98560797,0.1586962
-0.98048797,0.1586962
-0.97536797,0.1586962
-0.97024797,0.0
-0.96512797,0.0
-0.96000797,0.0
-0.95488797,0.1586962
-0.94976797,0.1586962
-0.94464797,0.1586962
-0.93952797,0.0
-0.93440797,0.1586962
-0.92928797,0.1586962
-0.92416797,0.1586962
-0.91904797,0.1586962
-0.91392797,0.1586962
-0.90880797,0.1586962
-0.90368797,0.1586962
-0.89856797,0.1586962
-0.89344797,0.1586962
-0.88832797,0.0
-0.88320797,0.0
-0.87808797,0.3173925
-0.87296797,0.634785
-0.86784797,1.26957
-0.86272797,1.904355
-0.85760797,2.53914
-0.85248797,3.174535
-0.84736797,3.650624
-0.84224797,4.126713
-0.83712797,4.444105
-0.83200797,4.761498
-0.82688797,5.07889
-0.82176797,5.396283
-0.81664797,5.554979
-0.81152797,5.872982
-0.80640797,6.031678
-0.80128797,6.190374
-0.79616797,6.349071
-0.79104797,6.349071
-0.78592797,6.507767
-0.78080797,6.507767
-0.77568797,6.666463
-0.77056797,6.666463
-0.76544797,6.666463
-0.76032797,6.666463
-0.75520797,6.666463
-0.75008797,6.666463
-0.74496797,6.666463
-0.73984797,6.666463
-0.73472797,6.82516
-0.72960797,6.666463
-0.72448797,6.82516
-0.71936797,6.82516
-0.71424797,6.82516
-0.70912797,6.666463
-0.70400797,6.666463
-0.69888797,6.666463
-0.69376797,6.666463
-0.68864797,6.666463
-0.68352797,6.666463
-0.67840797,6.666463
-0.67328797,6.666463
-0.66816797,6.666463
-0.66304797,6.666463
-0.65792797,6.666463
-0.65280797,6.666463
-0.64768797,6.507767
-0.64256797,6.507767
-0.63744797,6.507767
-0.63232797,6.507767
-0.62720797,6.507767
-0.62208797,6.349071
-0.61696797,6.349071
-0.61184797,6.349071
-0.60672797,6.349071
-0.60160797,6.349071
-0.59648797,6.349071
-0.59136797,6.349071
-0.58624797,6.190374
-0.58112797,6.190374
-0.57600797,6.190374
-0.57088797,6.190374
-0.56576797,6.190374
-0.56064797,6.190374
-0.55552797,6.031678
-0.55040797,6.031678
-0.54528797,6.031678
-0.54016797,6.031678
-0.53504797,6.031678
-0.52992797,6.031678
-0.52480797,5.872982
-0.51968797,5.872982
-0.51456797,5.872982
-0.50944797,5.872982
-0.50432797,5.714286
-0.49920797,5.714286
-0.49408797,5.714286
-0.48896797,5.714286
-0.48384797,5.714286
-0.47872797,5.714286
-0.47360797,5.554979
-0.46848797,5.554979
-0.46336797,5.554979
-0.45824797,5.554979
-0.45312797,5.396283
-0.44800797,5.396283
-0.44288797,5.396283
-0.43776797,5.396283
-0.43264797,5.396283
-0.42752797,5.396283
-0.42240797,5.237586
-0.41728797,5.237586
-0.41216797,5.237586
-0.40704797,5.237586
-0.40192797,5.07889
-0.39680797,5.07889
-0.39168797,5.07889
-0.38656797,5.07889
-0.38144797,5.07889
-0.37632797,5.07889
-0.37120797,4.920194
-0.36608797,4.920194
-0.36096797,4.920194
-0.35584797,4.920194
-0.35072797,4.920194
-0.34560797,4.761498
-0.34048797,4.761498
-0.33536797,4.761498
-0.33024797,4.761498
-0.32512797,4.761498
-0.32000797,4.602802
-0.31488797,4.602802
-0.30976797,4.602802
-0.30464797,4.602802
-0.29952797,4.602802
-0.29440797,4.444105
-0.28928797,4.444105
-0.28416797,4.444105
-0.27904797,4.444105
-0.27392797,4.444105
-0.26880797,4.444105
-0.26368797,4.285409
-0.25856797,4.285409
-0.25344797,4.285409
-0.24832797,4.285409
-0.24320797,4.126713
-0.23808797,4.126713
-0.23296797,4.126713
-0.22784797,4.126713
-0.22272797,4.126713
-0.21760797,4.126713
-0.21248797,4.126713
-0.20736797,3.968017
-0.20224797,3.968017
-0.19712797,3.968017
-0.19200797,3.968017
-0.18688797,3.80932
-0.18176797,3.80932
-0.17664797,3.80932
-0.17152797,3.80932
-0.16640797,3.80932
-0.16128797,3.650624
-0.15616797,3.650624
-0.15104797,3.650624
-0.14592797,3.650624
-0.14080797,3.650624
-0.13568797,3.650624
-0.13056797,3.650624
-0.12544797,3.491928
-0.12032797,3.491928
-0.11520797,3.491928
-0.11008797,3.491928
-0.10496797,3.491928
-0.09984797,3.333232
-0.09472797,3.333232
-0.08960797,3.333232
-0.08448797,3.333232
-0.07936797,3.333232
-0.07424797,3.333232
-0.06912797,3.174535
-0.06400797,3.174535
-0.05888797,3.174535
-0.05376797,3.174535
-0.04864797,3.174535
-0.04352797,3.174535
-0.03840797,3.174535
-0.03328797,3.174535
-0.02816797,3.015839
-0.02304797,3.015839
-0.01792797,3.015839
-0.01280797,3.015839
-0.00768797,3.015839
-0.00256797,2.857143
0.00255203,2.380444
0.00767203,2.063051
0.01279203,1.745659
0.01791203,1.428266
0.02303203,1.428266
0.02815203,1.745659
0.03327203,1.904355
0.03839203,2.221747
0.04351203,2.221747
0.04863203,2.380444
0.05375203,2.380444
0.05887203,2.53914
0.06399203,2.53914
0.06911203,2.53914
0.07423203,2.697836
0.07935203,2.697836
0.08447203,2.697836
0.08959203,2.697836
