Time,Channel A,Channel B
0.00255328,0.0,4.52375900
0.00767328,0.0,-0.27771840
0.01279328,0.0,0.71428570
0.01791328,0.1586962,2.97616500
0.02303328,0.3173925,-0.27771840
0.02815328,0.3967406,-2.77764200
0.03327328,0.7141331,-3.76979900
0.03839328,0.9521775,-4.16654000
0.04351328,1.190222,-4.36506200
0.04863328,1.50792,-4.92049900
0.05375328,1.666616,-4.76180300
0.05887328,1.90466,-4.80147700
0.06399328,2.063356,-4.84115100
0.06911328,2.222053,-∞
0.07423328,2.380749,-4.96017300
0.07935328,2.539445,-4.92049900
0.08447328,2.618793,-∞
0.08959328,2.698141,-4.96017300
0.09471328,2.77749,-∞
0.09983328,2.857143,-4.88082500
0.10495328,2.857143,-∞
0.11007328,2.936491,-4.60310700
0.11519328,2.936491,-4.76180300
0.12031328,3.015839,-4.72212900
0.12543328,3.015839,-4.72212900
0.13055328,3.015839,-4.84115100
0.13567328,3.015839,-4.64278100
0.14079328,3.015839,-4.52375900
0.14591328,3.095187,-4.24588800
0.15103328,3.015839,-4.44441000
0.15615328,3.015839,-4.52375900
0.16127328,3.015839,-4.44441000
0.16639328,3.015839,-4.40473700
0.17151328,3.015839,-4.32538800
0.17663328,3.095187,-4.40473700
0.18175328,3.015839,-4.36506200
0.18687328,3.095187,-4.20621300
0.19199328,3.015839,-4.24588800
0.19711328,3.015839,-4.44441000
0.20223328,3.015839,-4.28571400
0.20735328,3.015839,-4.04751700
0.21247328,3.015839,-4.12686500
0.21759328,3.015839,-4.08719200
0.22271328,3.015839,-3.88882100
0.22783328,3.015839,-3.92849500
0.23295328,3.015839,-3.88882100
0.23807328,3.015839,-3.84914700
0.24319328,2.936491,-3.84914700
0.24831328,3.015839,-3.57142900
0.25343328,3.015839,-3.69045100
0.25855328,2.936491,-3.53160200
0.26367328,2.936491,-3.49192800
0.26879328,2.936491,-3.57142900
0.27391328,2.936491,-3.45225400
0.27903328,2.936491,-3.49192800
0.28415328,2.857143,-3.45225400
0.28927328,2.857143,-3.37290600
0.29439328,2.857143,-3.45225400
0.29951328,2.857143,-3.41258000
0.30463328,2.857143,-3.25388300
0.30975328,2.857143,-3.05551300
0.31487328,2.77749,-3.05551300
0.31999328,2.77749,-3.01583900
0.32511328,2.77749,-3.05551300
0.33023328,2.77749,-2.97616500
0.33535328,2.77749,-3.13486100
0.34047328,2.77749,-2.97616500
0.34559328,2.698141,-2.81731600
0.35071328,2.698141,-2.89681700
0.35583328,2.698141,-2.85714300
0.36095328,2.698141,-2.61894600
0.36607328,2.698141,-2.73796800
0.37119328,2.698141,-2.61894600
0.37631328,2.618793,-2.61894600
0.38143328,2.618793,-2.53959800
0.38655328,2.618793,-2.61894600
0.39167328,2.618793,-2.53959800
0.39679328,2.618793,-2.53959800
0.40191328,2.618793,-2.38090200
0.40703328,2.539445,-2.30155300
0.41215328,2.539445,-2.14285700
0.41727328,2.539445,-2.10303000
0.42239328,2.539445,-2.22220500
0.42751328,2.460097,-2.22220500
0.43263328,2.460097,-2.14285700
0.43775328,2.460097,-1.98400800
0.44287328,2.460097,-2.14285700
0.44799328,2.460097,-1.94433400
0.45311328,2.460097,-1.86498600
0.45823328,2.380749,-1.86498600
0.46335328,2.380749,-1.66661600
0.46847328,2.380749,-1.90466000
0.47359328,2.380749,-1.66661600
0.47871328,2.301401,-1.86498600
0.48383328,2.301401,-1.66661600
0.48895328,2.301401,-1.66661600
0.49407328,2.301401,-1.50792000
0.49919328,2.301401,-1.66661600
0.50431328,2.222053,-1.38874500
0.50943328,2.222053,-1.34907100
0.51455328,2.222053,-1.42857100
0.51967328,2.222053,-1.50792000
0.52479328,2.222053,-1.42857100
0.52991328,2.222053,-1.38874500
0.53503328,2.142704,-1.11102600
0.54015328,2.142704,-1.19037400
0.54527328,2.142704,-1.62694200
0.55039328,2.142704,-1.11102600
0.55551328,2.142704,-1.11102600
0.56063328,2.063356,-1.03167800
0.56575328,2.063356,-1.15070000
0.57087328,2.063356,-0.79363380
0.57599328,2.063356,-1.03167800
0.58111328,2.063356,-1.11102600
0.58623328,1.984008,-0.87298200
0.59135328,1.984008,-1.03167800
0.59647328,1.984008,-0.75395980
0.60159328,1.984008,-0.91265600
0.60671328,1.984008,-0.91265600
0.61183328,1.90466,-0.95233010
0.61695328,1.984008,-0.71428570
0.62207328,1.90466,-0.91265600
0.62719328,1.90466,-0.75395980
0.63231328,1.90466,-0.79363380
0.63743328,1.825312,-0.67445900
0.64255328,1.90466,-0.79363380
0.64767328,1.825312,-0.91265600
0.65279328,1.825312,-0.43641470
0.65791328,1.825312,-0.67445900
0.66303328,1.825312,-0.39674060
0.66815328,1.825312,-0.55543680
0.67327328,1.745964,-0.39674060
0.67839328,1.745964,-0.39674060
0.68351328,1.745964,-0.39674060
0.68863328,1.666616,-0.31739250
0.69375328,1.666616,-0.43641470
0.69887328,1.666616,-0.27771840
0.70399328,1.666616,-0.39674060
0.70911328,1.666616,-0.27771840
0.71423328,1.587268,-0.47608880
0.71935328,1.666616,-0.39674060
0.72447328,1.587268,-0.31739250
0.72959328,1.587268,-0.19837030
0.73471328,1.587268,-0.39674060
0.73983328,1.587268,-0.31739250
0.74495327,1.587268,-0.27771840
0.75007327,1.587268,-0.27771840
0.75519327,1.50792,-0.15869620
0.76031327,1.587268,-0.11902220
0.76543327,1.50792,0.00000000
0.77055327,1.50792,-0.03967406
0.77567327,1.50792,-0.15869620
0.78079327,1.50792,-0.27771840
0.78591327,1.50792,-0.15869620
0.79103327,1.50792,-0.11902220
0.79615327,1.428571,-0.15869620
0.80127327,1.50792,-0.07934812
0.80639327,1.428571,-0.23804440
0.81151327,1.428571,0.15869620
0.81663327,1.428571,0.07934812
0.82175327,1.428571,0.07934812
0.82687327,1.348918,0.00000000
0.83199327,1.348918,0.03967406
0.83711327,1.348918,-0.03967406
0.84223327,1.348918,0.03967406
0.84735327,1.348918,-0.23804440
0.85247327,1.348918,0.15869620
0.85759327,1.26957,0.27771840
0.86271327,1.26957,0.03967406
0.86783327,1.26957,0.00000000
0.87295327,1.26957,0.23804440
0.87807327,1.26957,0.19837030
0.88319327,1.26957,0.15869620
0.88831327,1.190222,0.35706660
0.89343327,1.190222,0.31739250
0.89855327,1.190222,0.35706660
0.90367327,1.190222,0.07934812
0.90879327,1.190222,0.15869620
0.91391327,1.190222,0.11902220
0.91903327,1.190222,0.23804440
0.92415327,1.190222,0.23804440
0.92927327,1.190222,0.35706660
0.93439327,1.190222,0.03967406
0.93951327,1.110874,0.19837030
0.94463327,1.110874,0.31739250
0.94975327,1.110874,0.23804440
0.95487327,1.110874,0.31739250
0.95999327,1.110874,0.23804440
0.96511327,1.031526,0.27771840
0.97023327,1.110874,0.39674060
0.97535327,1.110874,-0.03967406
0.98047327,1.110874,0.23804440
0.98559327,1.031526,0.23804440
0.99071327,1.031526,0.31739250
0.99583327,1.031526,0.55543680
1.00095327,0.9521775,0.39674060
1.00607327,0.9521775,0.31739250
1.01119327,0.9521775,0.31739250
1.01631327,1.031526,0.35706660
1.02143327,0.9521775,0.23804440
1.02655327,0.9521775,0.47608880
1.03167327,1.031526,0.39674060
1.03679327,0.9521775,0.51576280
1.04191327,0.9521775,0.31739250
1.04703327,0.9521775,0.47608880
1.05215327,0.9521775,0.43641470
1.05727327,0.9521775,0.51576280
1.06239327,0.9521775,0.51576280
1.06751327,0.9521775,0.63478500
1.07263327,0.9521775,0.43641470
1.07775327,0.9521775,0.67445900
1.08287327,0.9521775,0.43641470
1.08799327,0.8728294,0.51576280
1.09311327,0.8728294,0.51576280
1.09823327,0.8728294,0.35706660
1.10335327,0.8728294,0.43641470
1.10847327,0.8728294,0.55543680
1.11359327,0.8728294,0.55543680
1.11871327,0.8728294,0.59511100
1.12383327,0.8728294,0.55543680
1.12895327,0.8728294,0.39674060
1.13407327,0.8728294,0.55543680
1.13919327,0.8728294,0.55543680
1.14431327,0.8728294,0.23804440
1.14943327,0.8728294,0.51576280
1.15455327,0.7934812,0.35706660
1.15967327,0.7934812,0.59511100
1.16479327,0.7934812,0.39674060
1.16991327,0.7934812,0.67445900
1.17503327,0.7934812,0.71428570
1.18015327,0.7934812,0.63478500
1.18527327,0.7934812,0.39674060
1.19039327,0.7934812,0.71428570
1.19551327,0.7934812,0.43641470
1.20063327,0.7141331,4.36506200
1.20575327,0.5554368,2.97616500
1.21087327,0.4760888,1.54759400
1.21599327,0.3967406,1.07135200
1.22111327,0.3173925,0.63478500
1.22623327,0.3173925,0.35706660
1.23135327,0.3173925,0.47608880
1.23647327,0.3173925,0.31739250
1.24159327,0.3967406,0.39674060
1.24671327,0.3967406,0.71428570
1.25183327,0.3967406,0.63478500
1.25695327,0.3967406,0.83330790
1.26207327,0.4760888,0.55543680
1.26719327,0.4760888,0.35706660
1.27231327,0.4760888,0.63478500
1.27743327,0.5554368,0.39674060
1.28255327,0.5554368,0.31739250
1.28767327,0.5554368,0.55543680
1.29279327,0.5554368,0.43641470
1.29791327,0.5554368,0.27771840
1.30303327,0.5554368,0.43641470
1.30815327,0.5554368,0.51576280
1.31327327,0.5554368,0.51576280
1.31839327,0.5554368,0.47608880
1.32351327,0.5554368,0.39674060
1.32863327,0.634785,0.39674060
1.33375327,0.634785,0.39674060
1.33887327,0.634785,0.59511100
1.34399327,0.634785,0.47608880
1.34911327,0.634785,0.43641470
1.35423327,0.634785,0.35706660
1.35935327,0.7141331,0.31739250
1.36447327,0.7141331,0.23804440
1.36959327,0.7141331,0.35706660
1.37471327,0.7141331,0.27771840
1.37983327,0.7141331,0.47608880
1.38495327,0.7141331,0.15869620
1.39007327,0.7141331,0.15869620
1.39519327,0.7141331,0.31739250
1.40031327,0.7141331,0.23804440
1.40543327,0.7141331,0.23804440
1.41055327,0.7141331,0.27771840
1.41567327,0.7141331,0.23804440
1.42079327,0.7141331,0.15869620
1.42591327,0.7934812,0.19837030
1.43103327,0.7934812,0.19837030
1.43615327,0.7141331,0.11902220
1.44127327,0.7934812,0.23804440
1.44639327,0.7141331,0.07934812
1.45151327,0.7934812,0.23804440
1.45663327,0.7934812,0.19837030
1.46175327,0.7934812,0.39674060
1.46687327,0.7934812,0.19837030
1.47199327,0.7934812,-0.03967406
1.47711327,0.7934812,0.27771840
1.48223327,0.7934812,0.07934812
1.48735327,0.7934812,0.27771840
1.49247327,0.7934812,0.11902220
1.49759327,0.7934812,0.19837030
1.50271327,0.8728294,0.00000000
1.50783327,0.8728294,-0.07934812
1.51295327,0.8728294,0.03967406
1.51807327,0.8728294,-0.03967406
1.52319327,0.8728294,0.03967406
1.52831327,0.8728294,-0.11902220
1.53343327,0.8728294,0.07934812
1.53855327,0.8728294,-0.07934812
1.54367327,0.8728294,0.00000000
1.54879327,0.8728294,0.00000000
1.55391327,0.9521775,0.00000000
1.55903327,0.8728294,-0.07934812
1.56415327,0.9521775,0.07934812
1.56927327,0.9521775,-0.27771840
1.57439327,0.9521775,0.00000000
1.57951327,0.9521775,0.00000000
1.58463327,0.9521775,-0.23804440
1.58975327,0.9521775,-0.03967406
1.59487327,1.031526,-0.15869620
1.59999327,1.031526,-0.15869620
1.60511327,0.9521775,-0.31739250
1.61023327,1.031526,-0.31739250
1.61535327,1.031526,-0.27771840
1.62047327,1.031526,-0.23804440
1.62559327,1.110874,-0.07934812
1.63071327,1.110874,-0.31739250
1.63583327,1.110874,-0.35706660
1.64095327,1.110874,-0.27771840
1.64607327,1.110874,-0.39674060
1.65119327,1.110874,-0.35706660
1.65631327,1.110874,-0.47608880
1.66143327,1.110874,-0.55543680
1.66655327,1.110874,-0.47608880
1.67167327,1.110874,-0.55543680
1.67679327,1.190222,-0.51576280
1.68191327,1.190222,-0.59511100
1.68703327,1.190222,-0.51576280
1.69215327,1.190222,-0.59511100
1.69727327,1.190222,-0.55543680
1.70239327,1.26957,-0.43641470
1.70751327,1.190222,-0.55543680
1.71263327,1.26957,-0.63478500
1.71775327,1.26957,-0.67445900
1.72287327,1.26957,-0.75395980
1.72799327,1.26957,-0.83330790
1.73311327,1.348918,-0.59511100
1.73823327,1.348918,-0.75395980
1.74335327,1.348918,-0.91265600
1.74847327,1.348918,-0.83330790
1.75359327,1.348918,-0.87298200
1.75871327,1.348918,-1.07135200
1.76383327,1.428571,-0.91265600
1.76895327,1.428571,-0.87298200
1.77407327,1.428571,-0.95233010
1.77919327,1.428571,-0.99200420
1.78431327,1.50792,-1.23004900
1.78943327,1.50792,-1.11102600
1.79455327,1.50792,-1.03167800
1.79967327,1.50792,-1.03167800
1.80479327,1.50792,-1.19037400
1.80991327,1.50792,-1.07135200
1.81503327,1.50792,-1.19037400
1.82015327,1.50792,-0.95233010
1.82527327,1.50792,-1.23004900
1.83039327,1.587268,-1.34907100
1.83551327,1.587268,-1.46824600
1.84063327,1.587268,-1.38874500
1.84575327,1.666616,-1.38874500
1.85087327,1.666616,-1.42857100
1.85599327,1.666616,-1.42857100
1.86111327,1.666616,-1.50792000
1.86623327,1.666616,-1.34907100
1.87135327,1.745964,-1.54759400
1.87647327,1.745964,-1.62694200
1.88159327,1.745964,-1.70629000
1.88671327,1.745964,-1.82531200
1.89183327,1.745964,-1.62694200
1.89695327,1.745964,-1.66661600
1.90207327,1.825312,-1.86498600
1.90719327,1.825312,-1.90466000
1.91231327,1.825312,-2.02368200
1.91743327,1.825312,-2.02368200
1.92255327,1.825312,-2.38090200
1.92767327,1.90466,-2.14285700
1.93279327,1.90466,-2.14285700
1.93791327,1.90466,-2.18253100
1.94303327,1.90466,-2.26187900
1.94815327,1.90466,-2.34122800
1.95327327,1.984008,-2.18253100
1.95839327,1.984008,-2.46025000
1.96351327,1.984008,-2.14285700
1.96863327,1.984008,-2.34122800
1.97375327,1.984008,-2.46025000
1.97887327,2.063356,-2.46025000
1.98399327,2.063356,-2.46025000
1.98911327,2.063356,-2.49992400
1.99423327,2.063356,-2.65862000
1.99935327,2.063356,-2.77764200
2.00447327,2.063356,-2.73796800
2.00959327,2.063356,-2.65862000
2.01471327,2.142704,-2.93649100
2.01983327,2.142704,-2.97616500
2.02495327,2.142704,-2.77764200
2.03007327,2.142704,-2.77764200
2.03519327,2.142704,-2.97616500
2.04031327,2.222053,-2.93649100
2.04543327,2.222053,-3.05551300
2.05055327,2.222053,-2.85714300
2.05567327,2.222053,-3.13486100
2.06079327,2.222053,-3.17453500
2.06591327,2.222053,-3.09518700
2.07103327,2.301401,-3.21420900
2.07615327,2.301401,-3.17453500
2.08127327,2.301401,-3.41258000
2.08639327,2.301401,-3.29355800
2.09151327,2.301401,-3.45225400
2.09663327,2.301401,-3.53160200
2.10175327,2.380749,-3.65077700
2.10687327,2.380749,-3.69045100
2.11199327,2.380749,-3.57142900
2.11711327,2.380749,-3.65077700
2.12223327,2.380749,-3.65077700
2.12735327,2.460097,-3.92849500
2.13247327,2.460097,-3.76979900
2.13759327,2.460097,-3.76979900
2.14271327,2.460097,-3.96816900
2.14783327,2.460097,-3.88882100
2.15295327,2.460097,-3.76979900
2.15807327,2.460097,-3.88882100
2.16319327,2.460097,-3.84914700
2.16831327,2.539445,-3.88882100
2.17343327,2.539445,-4.08719200
2.17855327,2.539445,-4.04751700
2.18367327,2.539445,-4.12686500
2.18879327,2.539445,-4.04751700
2.19391327,2.539445,-4.12686500
2.19903327,2.539445,-4.28571400
2.20415327,2.618793,-4.32538800
2.20927327,2.618793,-4.24588800
2.21439327,2.618793,-4.12686500
2.21951327,2.618793,-4.24588800
2.22463327,2.618793,-4.56343300
2.22975327,2.618793,-4.24588800
2.23487327,2.618793,-4.40473700
2.23999327,2.698141,-4.40473700
2.24511327,2.698141,-4.44441000
2.25023327,2.698141,-4.52375900
2.25535327,2.698141,-4.48408500
2.26047327,2.698141,-4.60310700
2.26559327,2.698141,-4.48408500
2.27071327,2.698141,-4.68245500
2.27583327,2.77749,-4.60310700
2.28095327,2.77749,-4.60310700
2.28607327,2.77749,-4.72212900
2.29119327,2.77749,-4.80147700
2.29631327,2.77749,-4.68245500
2.30143327,2.77749,-4.64278100
2.30655327,2.77749,-4.68245500
2.31167327,2.77749,-4.56343300
2.31679327,2.77749,-4.80147700
2.32191327,2.77749,-4.72212900
2.32703327,2.77749,-4.72212900
2.33215327,2.77749,-4.80147700
2.33727327,2.857143,-∞
2.34239327,2.857143,-4.76180300
2.34751327,2.857143,-4.88082500
2.35263327,2.857143,-4.76180300
2.35775327,2.857143,-4.72212900
2.36287327,2.857143,-4.88082500
2.36799327,2.857143,-4.80147700
2.37311327,2.857143,-4.92049900
2.37823327,2.857143,-4.64278100
2.38335327,2.857143,-4.64278100
2.38847327,2.857143,-4.76180300
2.39359326,2.857143,-4.72212900
2.39871326,2.857143,-4.60310700
2.40383326,2.857143,-4.60310700
2.40895326,2.857143,-4.84115100
2.41407326,2.857143,-4.68245500
2.41919326,2.936491,-4.64278100
2.42431326,2.857143,-4.72212900
2.42943326,2.936491,-4.92049900
2.43455326,2.936491,-4.72212900
2.43967326,2.936491,-4.72212900
2.44479326,2.936491,-4.64278100
2.44991326,2.936491,-4.52375900
2.45503326,2.857143,-4.72212900
2.46015326,2.936491,-4.68245500
2.46527326,2.936491,-4.60310700
2.47039326,2.857143,-4.56343300
2.47551326,2.936491,-4.56343300
2.48063326,2.857143,-4.28571400
2.48575326,2.936491,-4.40473700
2.49087326,2.857143,-4.60310700
2.49599326,2.857143,-4.44441000
2.50111326,2.857143,-4.48408500
2.50623326,2.857143,-4.28571400
2.51135326,2.857143,-4.44441000
2.51647326,2.857143,-4.40473700
2.52159326,2.857143,-4.36506200
2.52671326,2.857143,-4.36506200
2.53183326,2.857143,-4.24588800
2.53695326,2.857143,-4.20621300
2.54207326,2.857143,-4.28571400
2.54719326,2.857143,-4.24588800
2.55231326,2.857143,-4.12686500
2.55743326,2.857143,-4.12686500
2.56255326,2.857143,-3.92849500
2.56767326,2.77749,-3.92849500
2.57279326,2.77749,-3.88882100
2.57791326,2.77749,-4.04751700
2.58303326,2.77749,-3.73012500
