Time,Channel A,Channel B
0.00127202,0.07934812,-∞
0.00383202,0.07934812,∞
0.00639202,0.07934812,1.66661600
0.00895202,0.0,0.95233010
0.01151202,0.0,-0.47608880
0.01407202,0.07934812,0.47608880
0.01663202,0.0,1.82531200
0.01919202,0.07934812,2.65862000
0.02175202,0.1586962,0.71428570
0.02431202,0.2380444,-1.11102600
0.02687202,0.3173925,-2.46025000
0.02943202,0.3967406,-3.57142900
0.03199202,0.5554368,-4.48408500
0.03455202,0.7934812,-4.84115100
0.03711202,0.9521775,-∞
0.03967202,1.110874,-∞
0.04223202,1.26957,-∞
0.04479202,1.50792,-∞
0.04735202,1.666616,-∞
0.04991202,1.825312,-∞
0.05247202,1.90466,-∞
0.05503202,2.063356,-∞
0.05759202,2.222053,-∞
0.06015202,2.301401,-∞
0.06271202,2.460097,-∞
0.06527202,2.539445,-∞
0.06783202,2.698141,-∞
0.07039202,2.77749,-∞
0.07295202,2.857143,-∞
0.07551202,2.936491,-∞
0.07807202,3.015839,-∞
0.08063202,3.095187,-∞
0.08319202,3.174535,-∞
0.08575202,3.174535,-∞
0.08831202,3.253883,-∞
0.09087202,3.333232,-∞
0.09343202,3.333232,-∞
0.09599202,3.41258,-∞
0.09855202,3.491928,-∞
0.10111202,3.491928,-∞
0.10367202,3.491928,-∞
0.10623202,3.571276,-∞
0.10879202,3.571276,-∞
0.11135202,3.650624,-∞
0.11391202,3.650624,-∞
0.11647202,3.650624,-∞
0.11903202,3.650624,-∞
0.12159202,3.729972,-∞
0.12415202,3.729972,-∞
0.12671202,3.729972,-∞
0.12927202,3.729972,-∞
0.13183202,3.80932,-∞
0.13439202,3.80932,-∞
0.13695202,3.80932,-∞
0.13951202,3.80932,-∞
0.14207202,3.80932,-∞
0.14463202,3.80932,-∞
0.14719202,3.80932,-∞
0.14975202,3.80932,-∞
0.15231202,3.80932,-∞
0.15487202,3.80932,-∞
0.15743202,3.80932,-∞
0.15999202,3.80932,-∞
0.16255202,3.80932,-∞
0.16511202,3.80932,-∞
0.16767202,3.80932,-∞
0.17023202,3.80932,-∞
0.17279202,3.888669,-∞
0.17535202,3.80932,-∞
0.17791202,3.80932,-∞
0.18047202,3.888669,-∞
0.18303202,3.80932,-∞
0.18559202,3.80932,-∞
0.18815202,3.80932,-∞
0.19071202,3.80932,-∞
0.19327202,3.80932,-∞
0.19583202,3.80932,-∞
0.19839202,3.80932,-∞
0.20095202,3.80932,-∞
0.20351202,3.729972,-∞
0.20607202,3.729972,-∞
0.20863202,3.729972,-∞
0.21119202,3.729972,-∞
0.21375202,3.729972,-∞
0.21631202,3.729972,-∞
0.21887202,3.729972,-∞
0.22143202,3.729972,-∞
0.22399202,3.729972,-∞
0.22655202,3.729972,-∞
0.22911202,3.729972,-∞
0.23167202,3.729972,-∞
0.23423202,3.650624,-∞
0.23679202,3.729972,-∞
0.23935202,3.650624,-∞
0.24191202,3.650624,-∞
0.24447202,3.650624,-∞
0.24703202,3.650624,-∞
0.24959202,3.650624,-∞
0.25215202,3.650624,-∞
0.25471202,3.650624,-∞
0.25727202,3.650624,-∞
0.25983202,3.650624,-∞
0.26239202,3.650624,-∞
0.26495202,3.650624,-∞
0.26751202,3.650624,-∞
0.27007202,3.571276,-∞
0.27263202,3.571276,-∞
0.27519202,3.571276,-∞
0.27775202,3.571276,-∞
0.28031202,3.571276,-∞
0.28287202,3.571276,-∞
0.28543202,3.571276,-∞
0.28799202,3.571276,-∞
0.29055202,3.571276,-∞
0.29311202,3.491928,-∞
0.29567202,3.491928,-∞
0.29823202,3.491928,-∞
0.30079202,3.491928,-∞
0.30335202,3.491928,-∞
0.30591202,3.41258,-∞
0.30847202,3.491928,-∞
0.31103202,3.41258,-∞
0.31359202,3.41258,-∞
0.31615202,3.41258,-∞
0.31871202,3.41258,-∞
0.32127202,3.41258,-∞
0.32383202,3.41258,-∞
0.32639202,3.41258,-∞
0.32895202,3.333232,-∞
0.33151202,3.333232,-∞
0.33407202,3.333232,-∞
0.33663202,3.333232,-∞
0.33919202,3.333232,-∞
0.34175202,3.333232,-∞
0.34431202,3.253883,-∞
0.34687202,3.333232,-∞
0.34943202,3.333232,-∞
0.35199202,3.253883,-∞
0.35455202,3.253883,-∞
