Time,Channel A
-0.99584797,2.380444
-0.99072797,2.380444
-0.98560797,2.380444
-0.98048797,2.380444
-0.97536797,2.380444
-0.97024797,2.380444
-0.96512797,2.380444
-0.96000797,2.221747
-0.95488797,2.221747
-0.94976797,2.221747
-0.94464797,2.221747
-0.93952797,2.221747
-0.93440797,2.221747
-0.92928797,2.221747
-0.92416797,2.063051
-0.91904797,2.221747
-0.91392797,2.063051
-0.90880797,2.063051
-0.90368797,2.063051
-0.89856797,2.063051
-0.89344797,2.063051
-0.88832797,2.063051
-0.88320797,2.063051
-0.87808797,2.063051
-0.87296797,1.904355
-0.86784797,1.904355
-0.86272797,1.904355
-0.85760797,1.904355
-0.85248797,1.904355
-0.84736797,1.904355
-0.84224797,1.745659
-0.83712797,1.745659
-0.83200797,1.745659
-0.82688797,1.745659
-0.82176797,1.745659
-0.81664797,1.745659
-0.81152797,1.745659
-0.80640797,1.586962
-0.80128797,1.586962
-0.79616797,1.586962
-0.79104797,1.586962
-0.78592797,1.586962
-0.78080797,1.586962
-0.77568797,1.586962
-0.77056797,1.586962
-0.76544797,1.586962
-0.76032797,1.586962
-0.75520797,1.586962
-0.75008797,1.586962
-0.74496797,1.428266
-0.73984797,1.428266
-0.73472797,1.428266
-0.72960797,1.428266
-0.72448797,1.428266
-0.71936797,1.428266
-0.71424797,1.428266
-0.70912797,1.428266
-0.70400797,1.428266
-0.69888797,1.428266
-0.69376797,1.428266
-0.68864797,1.428266
-0.68352797,1.428266
-0.67840797,1.26957
-0.67328797,1.26957
-0.66816797,1.26957
-0.66304797,1.26957
-0.65792797,1.26957
-0.65280797,1.26957
-0.64768797,1.26957
-0.64256797,1.26957
-0.63744797,1.26957
-0.63232797,1.26957
-0.62720797,1.26957
-0.62208797,1.110874
-0.61696797,1.110874
-0.61184797,1.110874
-0.60672797,1.110874
-0.60160797,1.110874
-0.59648797,1.110874
-0.59136797,1.110874
-0.58624797,1.110874
-0.58112797,1.110874
-0.57600797,1.110874
-0.57088797,1.110874
-0.56576797,1.110874
-0.56064797,1.110874
-0.55552797,1.110874
-0.55040797,1.110874
-0.54528797,1.110874
-0.54016797,0.9521775
-0.53504797,1.110874
-0.52992797,0.9521775
-0.52480797,0.9521775
-0.51968797,0.9521775
-0.51456797,0.9521775
-0.50944797,0.9521775
-0.50432797,0.9521775
-0.49920797,0.9521775
-0.49408797,0.9521775
-0.48896797,0.9521775
-0.48384797,0.9521775
-0.47872797,0.9521775
-0.47360797,0.9521775
-0.46848797,0.9521775
-0.46336797,0.9521775
-0.45824797,0.9521775
-0.45312797,0.9521775
-0.44800797,0.9521775
-0.44288797,0.9521775
-0.43776797,0.9521775
-0.43264797,0.9521775
-0.42752797,0.9521775
-0.42240797,0.9521775
-0.41728797,0.9521775
-0.41216797,0.9521775
-0.40704797,0.9521775
-0.40192797,0.9521775
-0.39680797,0.9521775
-0.39168797,0.9521775
-0.38656797,0.7934812
-0.38144797,0.7934812
-0.37632797,0.7934812
-0.37120797,0.7934812
-0.36608797,0.7934812
-0.36096797,0.7934812
-0.35584797,0.7934812
-0.35072797,0.7934812
-0.34560797,0.7934812
-0.34048797,0.7934812
-0.33536797,0.7934812
-0.33024797,0.7934812
-0.32512797,0.7934812
-0.32000797,0.7934812
-0.31488797,0.7934812
-0.30976797,0.7934812
-0.30464797,0.7934812
-0.29952797,0.7934812
-0.29440797,0.7934812
-0.28928797,0.7934812
-0.28416797,0.7934812
-0.27904797,0.7934812
-0.27392797,0.7934812
-0.26880797,0.7934812
-0.26368797,0.7934812
-0.25856797,0.7934812
-0.25344797,0.7934812
-0.24832797,0.7934812
-0.24320797,0.7934812
-0.23808797,0.7934812
-0.23296797,0.7934812
-0.22784797,0.634785
-0.22272797,0.634785
-0.21760797,0.634785
-0.21248797,0.634785
-0.20736797,0.634785
-0.20224797,0.634785
-0.19712797,0.634785
-0.19200797,0.634785
-0.18688797,0.634785
-0.18176797,0.634785
-0.17664797,0.634785
-0.17152797,0.634785
-0.16640797,0.634785
-0.16128797,0.634785
-0.15616797,0.634785
-0.15104797,0.634785
-0.14592797,0.634785
-0.14080797,0.634785
-0.13568797,0.634785
-0.13056797,0.634785
-0.12544797,0.634785
-0.12032797,0.634785
-0.11520797,0.634785
-0.11008797,0.634785
-0.10496797,0.634785
-0.09984797,0.634785
-0.09472797,0.634785
-0.08960797,0.634785
-0.08448797,0.634785
-0.07936797,0.634785
-0.07424797,0.634785
-0.06912797,0.634785
-0.06400797,0.634785
-0.05888797,0.634785
-0.05376797,0.634785
-0.04864797,0.634785
-0.04352797,0.634785
-0.03840797,0.634785
-0.03328797,0.4760888
-0.02816797,0.634785
-0.02304797,0.4760888
-0.01792797,0.4760888
-0.01280797,0.4760888
-0.00768797,0.4760888
-0.00256797,0.4760888
0.00255203,0.4760888
0.00767203,0.3173925
0.01279203,0.3173925
0.01791203,0.1586962
0.02303203,0.1586962
0.02815203,0.3173925
0.03327203,0.4760888
0.03839203,0.4760888
0.04351203,0.634785
0.04863203,0.4760888
0.05375203,0.4760888
0.05887203,0.4760888
0.06399203,0.4760888
0.06911203,0.4760888
0.07423203,0.4760888
0.07935203,0.4760888
0.08447203,0.4760888
0.08959203,0.4760888
0.09471203,0.4760888
0.09983203,0.4760888
0.10495203,0.4760888
0.11007203,0.4760888
0.11519203,0.4760888
0.12031203,0.4760888
0.12543203,0.4760888
0.13055203,0.4760888
0.13567203,0.4760888
0.14079203,0.4760888
0.14591203,0.4760888
0.15103203,0.4760888
0.15615203,0.4760888
0.16127203,0.4760888
0.16639203,0.4760888
0.17151203,0.4760888
0.17663203,0.4760888
0.18175203,0.4760888
0.18687203,0.4760888
0.19199203,0.4760888
0.19711203,0.4760888
0.20223203,0.4760888
0.20735203,0.4760888
0.21247203,0.4760888
0.21759203,0.4760888
0.22271203,0.4760888
0.22783203,0.4760888
0.23295203,0.634785
0.23807203,0.634785
0.24319203,0.634785
0.24831203,0.634785
0.25343203,0.634785
0.25855203,0.4760888
0.26367203,0.634785
0.26879203,0.4760888
0.27391203,0.4760888
0.27903203,0.4760888
0.28415203,0.634785
0.28927203,0.4760888
0.29439203,0.4760888
0.29951203,0.4760888
0.30463203,0.4760888
0.30975203,0.634785
0.31487203,0.634785
0.31999203,0.634785
0.32511203,0.634785
0.33023203,0.634785
0.33535203,0.634785
0.34047203,0.634785
0.34559203,0.634785
0.35071203,0.634785
0.35583203,0.634785
0.36095203,0.634785
0.36607203,0.634785
0.37119203,0.634785
0.37631203,0.634785
0.38143203,0.634785
0.38655203,0.634785
0.39167203,0.634785
0.39679203,0.634785
0.40191203,0.634785
0.40703203,0.634785
0.41215203,0.634785
0.41727203,0.634785
0.42239203,0.634785
0.42751202,0.634785
0.43263202,0.634785
0.43775202,0.634785
0.44287202,0.634785
0.44799202,0.634785
0.45311202,0.634785
0.45823202,0.634785
0.46335202,0.634785
0.46847202,0.634785
0.47359202,0.634785
0.47871202,0.7934812
0.48383202,0.7934812
0.48895202,0.7934812
0.49407202,0.634785
0.49919202,0.7934812
0.50431202,0.7934812
0.50943202,0.7934812
0.51455202,0.7934812
0.51967202,0.7934812
0.52479202,0.7934812
0.52991202,0.7934812
0.53503202,0.7934812
0.54015202,0.7934812
0.54527202,0.7934812
0.55039202,0.7934812
0.55551202,0.7934812
0.56063202,0.7934812
0.56575202,0.7934812
0.57087202,0.7934812
0.57599202,0.7934812
0.58111202,0.7934812
0.58623202,0.7934812
0.59135202,0.7934812
0.59647202,0.7934812
0.60159202,0.7934812
0.60671202,0.7934812
0.61183202,0.9521775
0.61695202,0.9521775
0.62207202,0.9521775
0.62719202,0.7934812
0.63231202,0.7934812
0.63743202,0.7934812
0.64255202,0.7934812
0.64767202,0.9521775
0.65279202,0.9521775
0.65791202,0.9521775
0.66303202,0.9521775
0.66815202,0.9521775
0.67327202,0.9521775
0.67839202,0.9521775
0.68351202,0.9521775
0.68863202,0.9521775
0.69375202,0.9521775
0.69887202,0.9521775
0.70399202,1.110874
0.70911202,0.9521775
0.71423202,0.9521775
0.71935202,1.110874
0.72447202,0.9521775
0.72959202,1.110874
0.73471202,1.110874
0.73983202,1.110874
0.74495202,1.110874
0.75007202,1.110874
0.75519202,1.110874
0.76031202,1.110874
0.76543202,1.110874
0.77055202,1.110874
0.77567202,1.110874
0.78079202,1.110874
0.78591202,1.110874
0.79103202,1.110874
0.79615202,1.110874
0.80127202,1.26957
0.80639202,1.26957
0.81151202,1.26957
0.81663202,1.26957
0.82175202,1.26957
0.82687202,1.26957
0.83199202,1.26957
0.83711202,1.26957
0.84223202,1.26957
0.84735202,1.26957
0.85247202,1.26957
0.85759202,1.428266
0.86271202,1.428266
0.86783202,1.428266
0.87295202,1.428266
0.87807202,1.428266
0.88319202,1.428266
0.88831202,1.428266
0.89343202,1.428266
0.89855202,1.428266
0.90367202,1.428266
0.90879202,1.428266
0.91391202,1.586962
