Time,Channel A,Channel B
(ms),(V),(V)

-19.28064786,0.07934812,-0.07934812
-19.27808786,0.07934812,0.00000000
-19.27552786,0.07934812,-0.11902220
-19.27296786,0.07934812,0.07934812
-19.27040786,0.07934812,0.11902220
-19.26784786,0.07934812,-0.03967406
-19.26528786,0.07934812,-0.07934812
-19.26272786,0.07934812,0.00000000
-19.26016786,0.07934812,0.07934812
-19.25760786,0.07934812,0.00000000
-19.25504786,0.07934812,0.03967406
-19.25248786,0.07934812,0.03967406
-19.24992786,0.07934812,-0.03967406
-19.24736786,0.07934812,0.00000000
-19.24480786,0.00000000,0.00000000
-19.24224786,0.07934812,-0.71428570
-19.23968786,0.07934812,0.03967406
-19.23712786,0.07934812,0.00000000
-19.23456786,0.07934812,0.00000000
-19.23200786,0.07934812,0.03967406
-19.22944786,0.07934812,0.03967406
-19.22688786,0.07934812,0.07934812
-19.22432786,0.07934812,-0.11902220
-19.22176786,0.00000000,-0.19837030
-19.21920786,0.07934812,-0.07934812
-19.21664786,0.00000000,-0.03967406
-19.21408786,0.00000000,-0.11902220
-19.21152786,0.07934812,0.47608880
-19.20896786,0.07934812,0.15869620
-19.20640786,0.07934812,0.00000000
-19.20384786,0.07934812,-0.03967406
-19.20128786,0.07934812,0.07934812
-19.19872786,0.07934812,0.11902220
-19.19616786,0.00000000,0.03967406
-19.19360786,0.07934812,0.07934812
-19.19104786,0.07934812,0.00000000
-19.18848786,0.07934812,0.00000000
-19.18592786,0.07934812,0.03967406
-19.18336786,0.07934812,-0.23804440
-19.18080786,0.07934812,0.23804440
-19.17824786,0.07934812,-0.03967406
-19.17568786,0.07934812,-0.03967406
-19.17312786,0.07934812,0.00000000
-19.17056786,0.07934812,-0.07934812
-19.16800786,0.07934812,0.03967406
-19.16544786,0.00000000,0.03967406
-19.16288786,0.07934812,-0.03967406
-19.16032786,0.00000000,-0.07934812
-19.15776786,0.07934812,0.39674060
-19.15520786,0.07934812,0.00000000
-19.15264786,0.07934812,0.03967406
-19.15008786,0.07934812,-0.11902220
-19.14752786,0.07934812,-0.07934812
-19.14496786,0.07934812,-0.03967406
-19.14240786,0.07934812,-0.07934812
-19.13984786,0.07934812,-0.07934812
-19.13728786,0.07934812,0.03967406
-19.13472786,0.07934812,0.03967406
-19.13216786,0.07934812,-0.03967406
-19.12960786,0.07934812,0.00000000
-19.12704786,0.07934812,-0.03967406
-19.12448786,0.07934812,-0.03967406
-19.12192786,0.07934812,-0.03967406
-19.11936786,0.07934812,-0.19837030
-19.11680786,0.07934812,0.07934812
-19.11424786,0.07934812,-0.27771840
-19.11168786,0.07934812,-0.11902220
-19.10912786,0.07934812,-0.07934812
-19.10656786,0.07934812,0.00000000
-19.10400786,0.07934812,0.03967406
-19.10144786,0.07934812,0.03967406
-19.09888786,0.07934812,-0.03967406
-19.09632786,0.07934812,0.00000000
-19.09376786,0.07934812,-0.03967406
-19.09120786,0.07934812,0.07934812
-19.08864786,0.07934812,0.00000000
-19.08608786,0.07934812,-0.03967406
-19.08352786,0.00000000,0.00000000
-19.08096786,0.07934812,0.03967406
-19.07840786,0.07934812,-0.15869620
-19.07584786,0.07934812,-0.07934812
-19.07328786,0.07934812,-0.11902220
-19.07072786,0.07934812,-0.11902220
-19.06816786,0.07934812,0.00000000
-19.06560786,0.07934812,0.07934812
-19.06304786,0.07934812,-0.07934812
-19.06048786,0.07934812,0.00000000
-19.05792786,0.07934812,0.11902220
-19.05536786,0.07934812,0.15869620
-19.05280786,0.07934812,-0.07934812
-19.05024786,0.07934812,-0.03967406
-19.04768786,0.07934812,-0.15869620
-19.04512786,0.07934812,0.00000000
-19.04256786,0.07934812,-0.03967406
-19.04000786,0.07934812,-0.07934812
-19.03744786,0.07934812,0.00000000
-19.03488786,0.07934812,0.11902220
-19.03232786,0.07934812,-0.07934812
-19.02976786,0.07934812,-0.11902220
-19.02720786,0.07934812,0.23804440
-19.02464786,0.07934812,0.00000000
-19.02208786,0.07934812,0.15869620
-19.01952786,0.07934812,-0.03967406
-19.01696786,0.07934812,-0.15869620
-19.01440786,0.07934812,-0.07934812
-19.01184786,0.07934812,-0.03967406
-19.00928786,0.07934812,-0.07934812
-19.00672786,0.07934812,0.03967406
-19.00416786,0.07934812,-0.07934812
-19.00160786,0.07934812,0.15869620
-18.99904786,0.07934812,0.07934812
-18.99648786,0.07934812,0.07934812
-18.99392786,0.07934812,-0.07934812
-18.99136786,0.07934812,0.00000000
-18.98880786,0.07934812,-0.07934812
-18.98624786,0.07934812,-0.11902220
-18.98368786,0.07934812,-0.27771840
