Time,Channel A,Channel B
(ms),(V),(V)

-48.20224643,0.07934812,-0.19837030
-48.19712643,0.07934812,0.03967406
-48.19200643,0.07934812,-0.03967406
-48.18688643,0.07934812,-0.07934812
-48.18176643,0.07934812,0.00000000
-48.17664643,0.07934812,-0.03967406
-48.17152643,0.07934812,0.03967406
-48.16640643,0.07934812,0.15869620
-48.16128643,0.07934812,-0.07934812
-48.15616643,0.00000000,0.03967406
-48.15104643,0.07934812,-0.07934812
-48.14592643,0.00000000,-0.11902220
-48.14080643,0.07934812,0.11902220
-48.13568643,0.00000000,-0.07934812
-48.13056643,0.00000000,-0.07934812
-48.12544643,0.00000000,-0.11902220
-48.12032643,0.07934812,-0.07934812
-48.11520643,0.00000000,0.11902220
-48.11008643,0.07934812,0.03967406
-48.10496643,0.07934812,-0.15869620
-48.09984643,0.07934812,-0.15869620
-48.09472643,0.07934812,-0.11902220
-48.08960643,0.07934812,-0.15869620
-48.08448643,0.07934812,0.03967406
-48.07936643,0.07934812,-0.07934812
-48.07424643,0.07934812,-0.23804440
-48.06912643,0.07934812,-0.11902220
-48.06400643,0.07934812,0.00000000
-48.05888643,0.07934812,-0.07934812
-48.05376643,0.07934812,0.03967406
-48.04864643,0.07934812,0.11902220
-48.04352643,0.07934812,-0.23804440
-48.03840643,0.07934812,-0.07934812
-48.03328643,0.07934812,-0.11902220
-48.02816643,0.07934812,0.00000000
-48.02304643,0.07934812,-0.07934812
-48.01792643,0.07934812,0.07934812
-48.01280643,0.07934812,-0.11902220
-48.00768643,0.07934812,-0.07934812
-48.00256643,0.07934812,-0.03967406
-47.99744643,0.07934812,0.00000000
-47.99232643,0.07934812,0.07934812
-47.98720643,0.07934812,0.03967406
-47.98208643,0.07934812,-0.11902220
-47.97696643,0.07934812,-0.35706660
-47.97184643,0.07934812,0.03967406
-47.96672643,0.07934812,-0.15869620
-47.96160643,0.00000000,0.00000000
-47.95648643,0.07934812,0.00000000
-47.95136643,0.07934812,0.03967406
-47.94624643,0.07934812,-0.11902220
-47.94112643,0.07934812,-0.15869620
-47.93600643,0.00000000,0.07934812
-47.93088643,0.07934812,0.11902220
-47.92576643,0.07934812,-0.23804440
-47.92064643,0.07934812,0.00000000
-47.91552643,0.07934812,-0.03967406
-47.91040643,0.07934812,0.00000000
-47.90528643,0.07934812,0.00000000
-47.90016643,0.07934812,-0.15869620
-47.89504643,0.07934812,-0.23804440
-47.88992643,0.07934812,-0.03967406
-47.88480643,0.07934812,-0.15869620
-47.87968643,0.00000000,-0.07934812
-47.87456643,0.07934812,-0.07934812
-47.86944643,0.07934812,-0.07934812
-47.86432643,0.00000000,-0.03967406
-47.85920643,0.07934812,-0.03967406
-47.85408643,0.07934812,-0.03967406
-47.84896643,0.00000000,-0.15869620
-47.84384643,0.07934812,0.23804440
-47.83872643,0.07934812,-0.07934812
-47.83360643,0.00000000,-0.03967406
-47.82848643,0.07934812,0.00000000
-47.82336643,0.00000000,-0.07934812
-47.81824643,0.07934812,-0.19837030
-47.81312643,0.07934812,-0.07934812
-47.80800643,0.07934812,0.15869620
-47.80288643,0.07934812,0.00000000
-47.79776643,0.00000000,0.03967406
-47.79264643,0.07934812,-0.07934812
-47.78752643,0.07934812,-0.11902220
-47.78240643,0.07934812,0.11902220
-47.77728643,0.07934812,-0.07934812
-47.77216643,0.07934812,0.11902220
-47.76704643,0.07934812,0.00000000
-47.76192643,0.07934812,0.07934812
-47.75680643,0.07934812,0.00000000
-47.75168643,0.07934812,0.07934812
-47.74656643,0.00000000,-0.23804440
-47.74144643,0.07934812,0.03967406
-47.73632643,0.07934812,-0.07934812
-47.73120643,0.07934812,0.00000000
-47.72608643,0.00000000,-0.11902220
-47.72096643,0.07934812,-0.03967406
-47.71584643,0.07934812,0.00000000
-47.71072643,0.07934812,0.00000000
-47.70560643,0.07934812,-0.07934812
-47.70048643,0.07934812,-0.07934812
-47.69536643,0.07934812,-0.07934812
-47.69024643,0.07934812,-0.03967406
-47.68512643,0.07934812,-0.03967406
-47.68000643,0.07934812,0.03967406
-47.67488643,0.07934812,-0.07934812
-47.66976643,0.07934812,0.15869620
-47.66464643,0.07934812,-0.07934812
-47.65952643,0.07934812,-0.07934812
-47.65440643,0.07934812,-0.15869620
-47.64928643,0.07934812,0.00000000
-47.64416643,0.07934812,0.03967406
-47.63904643,0.07934812,0.03967406
-47.63392643,0.07934812,-0.19837030
-47.62880643,0.07934812,0.00000000
-47.62368643,0.07934812,-0.03967406
-47.61856643,0.07934812,-0.11902220
-47.61344643,0.07934812,0.03967406
